Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8188,0.3542,0.8233,0.5334,0.7708,0.5311,0.9483,0.5833,0.9518,4082,17,31,876,2633,37,11,2325,4719,28,20,239
0.8226,0.3542,0.8271,0.5475,0.7292,0.5458,0.9479,0.5208,0.952,4101,17,31,857,2706,35,13,2252,4720,25,23,238
0.8258,0.4375,0.8296,0.5447,0.8542,0.5418,0.9413,0.6458,0.9441,4113,21,27,845,2686,41,7,2272,4681,31,17,277
0.829,0.3333,0.8338,0.5473,0.75,0.5454,0.9495,0.5,0.9538,4134,16,32,824,2704,36,12,2254,4729,24,24,229
0.8196,0.2917,0.8247,0.5465,0.8333,0.5438,0.9608,0.5208,0.9651,4089,14,34,869,2696,40,8,2262,4785,25,23,173
0.8264,0.4583,0.83,0.5527,0.8125,0.5502,0.9467,0.5833,0.9502,4115,22,26,843,2728,39,9,2230,4711,28,20,247
0.8208,0.2708,0.8261,0.5479,0.7083,0.5464,0.9435,0.75,0.9453,4096,13,35,862,2709,34,14,2249,4687,36,12,271
0.8228,0.3542,0.8273,0.5471,0.6875,0.5458,0.9537,0.625,0.9568,4102,17,31,856,2706,33,15,2252,4744,30,18,214
0.822,0.3333,0.8267,0.5453,0.8542,0.5424,0.9423,0.5833,0.9457,4099,16,32,859,2689,41,7,2269,4689,28,20,269
0.8206,0.375,0.8249,0.5453,0.6875,0.544,0.9431,0.6042,0.9463,4090,18,30,868,2697,33,15,2261,4692,29,19,266
0.8354,0.3125,0.8405,0.5487,0.8333,0.546,0.9245,0.625,0.9274,4167,15,33,791,2707,40,8,2251,4598,30,18,360
0.82,0.375,0.8243,0.5412,0.75,0.5391,0.9563,0.5417,0.9603,4087,18,30,871,2673,36,12,2285,4761,26,22,197
0.8238,0.3125,0.8288,0.5473,0.7292,0.5456,0.9311,0.7292,0.933,4109,15,33,849,2705,35,13,2253,4626,35,13,332
0.8152,0.3125,0.8201,0.5453,0.8333,0.5426,0.9317,0.6042,0.9349,4066,15,33,892,2690,40,8,2268,4635,29,19,323
0.83,0.375,0.8344,0.5529,0.7708,0.5508,0.9339,0.5625,0.9375,4137,18,30,821,2731,37,11,2227,4648,27,21,310
0.829,0.375,0.8334,0.5577,0.7083,0.5563,0.9489,0.625,0.952,4132,18,30,826,2758,34,14,2200,4720,30,18,238
0.8176,0.3542,0.8221,0.5416,0.7292,0.5397,0.9367,0.5833,0.9401,4076,17,31,882,2676,35,13,2282,4661,28,20,297
0.8248,0.3542,0.8294,0.5469,0.7083,0.5454,0.9297,0.6667,0.9322,4112,17,31,846,2704,34,14,2254,4622,32,16,336
0.8236,0.3125,0.8286,0.5402,0.8542,0.5371,0.9445,0.6875,0.947,4108,15,33,850,2663,41,7,2295,4695,33,15,263
0.8128,0.4167,0.8167,0.5408,0.8125,0.5381,0.9317,0.5,0.9359,4049,20,28,909,2668,39,9,2290,4640,24,24,318
0.8244,0.3542,0.829,0.5435,0.7917,0.5411,0.9433,0.5417,0.9472,4110,17,31,848,2683,38,10,2275,4696,26,22,262
0.821,0.4583,0.8245,0.5306,0.7917,0.528,0.9279,0.5833,0.9312,4088,22,26,870,2618,38,10,2340,4617,28,20,341
0.8238,0.3333,0.8286,0.5469,0.7917,0.5446,0.9307,0.625,0.9336,4108,16,32,850,2700,38,10,2258,4629,30,18,329
0.8214,0.2917,0.8265,0.5441,0.7292,0.5424,0.9277,0.625,0.9306,4098,14,34,860,2689,35,13,2269,4614,30,18,344
0.827,0.375,0.8314,0.5439,0.7708,0.5418,0.9449,0.625,0.948,4122,18,30,836,2686,37,11,2272,4700,30,18,258
0.828,0.2917,0.8332,0.5489,0.7292,0.5472,0.9341,0.5208,0.9381,4131,14,34,827,2713,35,13,2245,4651,25,23,307
0.8222,0.4167,0.8261,0.5571,0.7708,0.5551,0.9347,0.6042,0.9379,4096,20,28,862,2752,37,11,2206,4650,29,19,308
0.811,0.3125,0.8159,0.5473,0.7292,0.5456,0.9455,0.75,0.9474,4045,15,33,913,2705,35,13,2253,4697,36,12,261
0.82,0.3333,0.8247,0.5507,0.7708,0.5486,0.9419,0.6667,0.9445,4089,16,32,869,2720,37,11,2238,4683,32,16,275
0.8168,0.4167,0.8207,0.5378,0.7917,0.5353,0.9367,0.7083,0.9389,4069,20,28,889,2654,38,10,2304,4655,34,14,303
