Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
AdaBoost,3,0.3,0.964,0.978,0.981,0.055,0.038,0.019,0.066,0.522,0.049,0.037
AdaBoost,5,0.3,0.962,0.976,0.98,0.055,0.037,0.019,0.068,0.522,0.047,0.036
AdaBoost,4,0.3,0.962,0.977,0.981,0.054,0.036,0.018,0.067,0.522,0.047,0.035
KNeighbors,4,0.3,0.884,0.895,0.938,0.052,0.038,0.019,0.198,0.547,0.03,0.025
KNeighbors,4,0.4,0.833,0.842,0.908,0.051,0.042,0.02,0.279,0.56,0.028,0.022
KNeighbors,5,0.3,0.886,0.898,0.939,0.051,0.035,0.019,0.188,0.543,0.029,0.023
KNeighbors,2,0.4,0.832,0.842,0.908,0.05,0.04,0.019,0.274,0.558,0.028,0.021
KNeighbors,3,0.4,0.831,0.841,0.907,0.05,0.04,0.019,0.276,0.558,0.027,0.021
KNeighbors,3,0.5,0.778,0.785,0.874,0.048,0.04,0.02,0.344,0.565,0.026,0.018
KNeighbors,5,0.4,0.836,0.846,0.91,0.047,0.034,0.019,0.252,0.549,0.026,0.019
KNeighbors,2,0.5,0.778,0.786,0.874,0.046,0.036,0.019,0.333,0.559,0.025,0.017
KNeighbors,4,0.5,0.777,0.784,0.873,0.044,0.031,0.019,0.319,0.551,0.024,0.014
KNeighbors,5,0.5,0.78,0.788,0.876,0.043,0.029,0.018,0.306,0.547,0.023,0.013
GaussianNB,2,0.3,0.855,0.866,0.919,0.04,0.018,0.017,0.177,0.522,0.024,0.012
GaussianNB,2,0.5,0.715,0.721,0.827,0.04,0.024,0.018,0.362,0.541,0.022,0.01
GaussianNB,4,0.4,0.726,0.733,0.832,0.039,0.019,0.018,0.328,0.53,0.021,0.009
GaussianNB,2,0.2,0.919,0.933,0.957,0.038,0.017,0.017,0.099,0.516,0.025,0.014
GaussianNB,2,0.4,0.779,0.788,0.87,0.038,0.018,0.017,0.267,0.527,0.022,0.01
GaussianNB,3,0.2,0.89,0.903,0.94,0.038,0.016,0.017,0.13,0.516,0.025,0.013
GaussianNB,3,0.4,0.751,0.759,0.853,0.038,0.019,0.018,0.302,0.53,0.021,0.009
GaussianNB,3,0.5,0.689,0.694,0.81,0.038,0.021,0.018,0.384,0.539,0.02,0.008
GaussianNB,4,0.5,0.727,0.733,0.838,0.038,0.019,0.018,0.334,0.534,0.02,0.008
GaussianNB,5,0.4,0.761,0.769,0.862,0.037,0.016,0.017,0.284,0.527,0.02,0.008
GaussianNB,5,0.5,0.711,0.717,0.824,0.037,0.017,0.017,0.343,0.53,0.02,0.007
GaussianNB,3,0.3,0.833,0.843,0.906,0.036,0.013,0.017,0.192,0.518,0.021,0.008
GaussianNB,4,0.2,0.875,0.886,0.931,0.036,0.013,0.017,0.144,0.515,0.021,0.009
GaussianNB,4,0.3,0.784,0.793,0.876,0.036,0.014,0.017,0.252,0.522,0.02,0.007
GaussianNB,5,0.3,0.775,0.784,0.87,0.036,0.013,0.017,0.258,0.521,0.02,0.007
AdaBoost,4,0.2,0.977,0.993,0.988,0.035,0.028,0.018,0.027,0.51,0.058,0.026
GaussianNB,5,0.2,0.841,0.852,0.912,0.035,0.013,0.017,0.183,0.518,0.02,0.007
AdaBoost,2,0.2,0.977,0.993,0.988,0.034,0.027,0.018,0.026,0.509,0.058,0.024
AdaBoost,5,0.2,0.976,0.992,0.988,0.032,0.023,0.017,0.026,0.509,0.047,0.021
GaussianNB,5,0.1,0.901,0.915,0.947,0.031,0.006,0.017,0.096,0.505,0.019,0.005
SGD,5,0.5,0.839,0.85,0.901,0.03,0.014,0.017,0.184,0.517,0.025,0.008
AdaBoost,3,0.2,0.977,0.993,0.988,0.028,0.021,0.017,0.022,0.507,0.048,0.019
GaussianNB,4,0.1,0.937,0.951,0.967,0.028,0.006,0.017,0.059,0.505,0.02,0.005
GaussianNB,3,0.1,0.951,0.966,0.975,0.027,0.006,0.016,0.039,0.503,0.022,0.006
SGD,3,0.5,0.86,0.871,0.916,0.025,0.011,0.017,0.15,0.51,0.031,0.007
LinearSVC,5,0.5,0.964,0.979,0.981,0.025,0.009,0.017,0.03,0.504,0.027,0.008
GaussianNB,2,0.1,0.96,0.975,0.98,0.024,0.006,0.016,0.033,0.504,0.02,0.006
LinearSVC,3,0.5,0.969,0.984,0.984,0.024,0.011,0.017,0.026,0.505,0.028,0.01
BaggingClassifierLSVC,4,0.5,0.965,0.98,0.982,0.024,0.009,0.017,0.03,0.505,0.027,0.008
BaggingClassifierLSVC,5,0.5,0.964,0.979,0.981,0.024,0.008,0.017,0.028,0.504,0.029,0.007
SGD,2,0.5,0.837,0.848,0.898,0.023,0.009,0.017,0.176,0.512,0.018,0.005
BaggingClassifierLSVC,2,0.5,0.974,0.989,0.987,0.023,0.014,0.017,0.021,0.505,0.038,0.012
LinearSVC,4,0.5,0.966,0.981,0.983,0.023,0.008,0.017,0.028,0.505,0.026,0.007
SGD,4,0.5,0.877,0.89,0.926,0.023,0.009,0.017,0.128,0.509,0.027,0.006
BaggingClassifierLSVC,3,0.5,0.969,0.985,0.984,0.022,0.008,0.017,0.023,0.504,0.025,0.008
GaussianNB,4,0.05,0.95,0.965,0.974,0.022,0.002,0.016,0.038,0.502,0.018,0.002
SGD,5,0.4,0.892,0.905,0.931,0.022,0.013,0.017,0.112,0.509,0.05,0.007
LinearSVC,2,0.5,0.973,0.989,0.986,0.021,0.011,0.017,0.02,0.504,0.038,0.009
GaussianNB,5,0.05,0.941,0.956,0.969,0.021,-0.001,0.016,0.041,0.498,0.016,-0.001
GaussianNB,2,0.05,0.969,0.984,0.984,0.017,0.002,0.016,0.017,0.501,0.018,0.002
GaussianNB,3,0.05,0.965,0.981,0.982,0.017,0.001,0.016,0.019,0.5,0.018,0.001
LinearSVC,4,0.4,0.978,0.994,0.989,0.014,0.009,0.017,0.01,0.502,0.04,0.006
SGD,3,0.4,0.937,0.951,0.956,0.013,0.008,0.017,0.06,0.506,0.029,0.005
BaggingClassifierLSVC,3,0.4,0.979,0.995,0.989,0.013,0.008,0.017,0.009,0.502,0.031,0.006
SGD,4,0.4,0.864,0.876,0.899,0.013,0.004,0.017,0.134,0.505,0.018,0.002
BaggingClassifierLSVC,4,0.4,0.978,0.994,0.989,0.013,0.007,0.017,0.009,0.502,0.033,0.005
LinearSVC,3,0.4,0.979,0.995,0.989,0.012,0.007,0.016,0.009,0.502,0.028,0.005
LinearSVC,5,0.4,0.977,0.993,0.988,0.012,0.005,0.017,0.009,0.501,0.031,0.003
BaggingClassifierLSVC,5,0.4,0.977,0.993,0.989,0.012,0.006,0.017,0.009,0.501,0.048,0.003
AdaBoost,2,0.1,0.983,0.999,0.991,0.011,0.016,0.017,0.006,0.502,0.07,0.009
AdaBoost,2,0.05,0.983,0.999,0.992,0.01,0.019,0.018,0.005,0.502,0.091,0.009
LinearSVC,2,0.4,0.98,0.996,0.99,0.01,0.006,0.017,0.007,0.501,0.032,0.004
AdaBoost,3,0.1,0.982,0.998,0.991,0.01,0.012,0.017,0.006,0.502,0.052,0.007
AdaBoost,5,0.1,0.982,0.998,0.991,0.01,0.011,0.017,0.006,0.502,0.046,0.007
SGD,2,0.4,0.916,0.929,0.934,0.009,0.004,0.016,0.076,0.503,0.025,0.002
SVC,5,0.5,0.972,0.988,0.986,0.008,0,0.016,0.012,0.5,0.006,0
BaggingClassifierLSVC,2,0.4,0.98,0.996,0.99,0.007,0.003,0.016,0.005,0.501,0.025,0.002
AdaBoost,4,0.1,0.982,0.998,0.991,0.007,0.007,0.017,0.004,0.501,0.04,0.004
SVC,4,0.5,0.975,0.991,0.987,0.007,0.001,0.016,0.011,0.501,0.006,0.001
AdaBoost,3,0.05,0.983,1,0.992,0.006,0.014,0.018,0.003,0.501,0.096,0.005
LinearSVC,4,0.3,0.982,0.998,0.991,0.005,0.002,0.016,0.003,0.5,0.021,0.001
LinearSVC,2,0.3,0.982,0.998,0.991,0.004,0,0.016,0.002,0.5,0.012,0.001
BaggingClassifierLSVC,2,0.3,0.982,0.998,0.991,0.003,-0.001,0.016,0.002,0.5,0.01,0
SVC,2,0.5,0.982,0.998,0.991,0.003,0.003,0.016,0.003,0.501,0.019,0.001
SVC,3,0.5,0.981,0.997,0.99,0.003,0,0.016,0.003,0.5,0.013,0
AdaBoost,4,0.05,0.984,1,0.992,0.003,0.006,0.017,0.002,0.501,0.034,0.003
BaggingClassifierLSVC,5,0.3,0.982,0.998,0.991,0.003,0.001,0.016,0.002,0.5,0.028,0
SVC,2,0.4,0.983,1,0.992,0.002,0.006,0.017,0.001,0.5,0.06,0.001
BaggingClassifierLSVC,3,0.3,0.982,0.998,0.991,0.002,-0.002,0.016,0.001,0.5,0.005,-0.001
SVC_Linear,3,0.4,0.984,1,0.992,0.002,0.005,0.017,0.001,0.5,0.045,0.001
SGD,4,0.3,0.981,0.997,0.99,0.002,0.001,0.016,0.005,0.501,0.009,0.001
BaggingClassifierLSVC,4,0.3,0.982,0.998,0.991,0.002,-0.003,0.016,0.001,0.5,0.004,-0.002
SVC,4,0.4,0.981,0.997,0.99,0.002,0,0.016,0.003,0.5,0.002,0
AdaBoost,5,0.05,0.984,1,0.992,0.002,0.003,0.016,0.001,0.5,0.019,0.002
LinearSVC,5,0.3,0.982,0.998,0.991,0.002,-0.002,0.016,0.001,0.5,0.008,-0.001
SGD,5,0.3,0.983,0.999,0.991,0.002,0,0.016,0.001,0.5,0.007,0
SVC_Linear,2,0.1,0.984,1,0.992,0.001,0.002,0.016,0,0.5,0.02,0
SVC_Linear,2,0.2,0.984,1,0.992,0.001,0,0.016,0,0.5,0.007,0
SVC,2,0.3,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.01,0
SVC_Linear,2,0.3,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.01,0
SGD,2,0.3,0.976,0.991,0.987,0.001,0,0.016,0.009,0.5,0.007,0
SVC_Linear,2,0.4,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.01,0
SVC_Linear,2,0.5,0.984,1,0.992,0.001,0.002,0.016,0,0.5,0.02,0
SVC_Linear,3,0.2,0.984,1,0.992,0.001,0.002,0.016,0,0.5,0.02,0
LinearSVC,3,0.2,0.983,0.999,0.992,0.001,0.001,0.016,0.001,0.5,0.022,0
SGD,3,0.2,0.984,1,0.992,0.001,0.003,0.016,0.001,0.5,0.027,0.001
BaggingClassifierLSVC,3,0.2,0.983,1,0.992,0.001,0,0.016,0,0.5,0.02,0
LinearSVC,3,0.3,0.982,0.998,0.991,0.001,-0.003,0.016,0.001,0.499,0.003,-0.002
SGD,3,0.3,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.02,0
LinearSVC,4,0.1,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.007,0
SGD,4,0.1,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.007,0
LinearSVC,4,0.2,0.983,0.999,0.992,0.001,-0.001,0.016,0.001,0.5,0.009,0
SGD,4,0.2,0.984,1,0.992,0.001,0.001,0.016,0.001,0.5,0.012,0.001
SVC_Linear,4,0.4,0.984,1,0.992,0.001,0.001,0.016,0,0.5,0.02,0
SVC_Linear,4,0.5,0.982,0.998,0.991,0.001,-0.001,0.016,0.001,0.5,0.001,0
SVC,5,0.4,0.981,0.998,0.991,0.001,-0.001,0.016,0.002,0.5,0.001,-0.001
SVC_Linear,5,0.4,0.983,0.999,0.991,0.001,0.001,0.016,0.001,0.5,0.01,0
SVC,2,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC_Linear,2,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
LinearSVC,2,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SGD,2,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
BaggingClassifierLSVC,2,0.05,0.984,1,0.992,0,0,0.016,0,0.5,0,0
SVC,2,0.1,0.984,1,0.992,0,0,0.016,0,0.5,0,0
