Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
DecisionTree,4,0.05,0.843,0.85,0.91,0.128,0.136,0.042,0.437,0.643,0.083,0.103
ExtraTrees,4,0.05,0.85,0.857,0.914,0.158,0.163,0.057,0.429,0.643,0.124,0.136
BaggingClassifierDT,4,0.05,0.892,0.901,0.94,0.164,0.164,0.055,0.346,0.624,0.146,0.143
BaggingClassifierLSVC,4,0.05,0.582,0.583,0.733,0.039,0.028,0.018,0.526,0.555,0.02,0.008
SVC,4,0.1,0.569,0.569,0.721,0.038,0.027,0.018,0.536,0.553,0.02,0.008
SVC_Linear,4,0.1,0.591,0.592,0.74,0.038,0.025,0.018,0.506,0.549,0.02,0.008
LinearSVC,4,0.1,0.57,0.571,0.723,0.039,0.027,0.018,0.537,0.554,0.02,0.008
KNeighbors,4,0.1,0.949,0.962,0.972,0.086,0.068,0.023,0.117,0.54,0.073,0.067
RandomForest,4,0.1,0.91,0.919,0.951,0.179,0.181,0.061,0.369,0.644,0.14,0.159
AdaBoost,4,0.1,0.983,0.999,0.991,0.01,0.016,0.018,0.005,0.502,0.083,0.008
GradientBoosting,4,0.1,0.981,0.997,0.991,0.071,0.081,0.025,0.045,0.521,0.175,0.065
GaussianNB,4,0.1,0.97,0.986,0.985,0.02,0.007,0.017,0.021,0.503,0.021,0.007
SGD,4,0.1,0.537,0.537,0.624,0.031,0.011,0.017,0.491,0.514,0.026,0.005
DecisionTree,4,0.1,0.858,0.864,0.92,0.11,0.126,0.037,0.435,0.65,0.065,0.085
ExtraTrees,4,0.1,0.878,0.886,0.931,0.154,0.161,0.051,0.413,0.649,0.108,0.132
BaggingClassifierDT,4,0.1,0.912,0.922,0.952,0.161,0.16,0.05,0.336,0.629,0.122,0.14
BaggingClassifierLSVC,4,0.1,0.584,0.585,0.734,0.038,0.025,0.018,0.514,0.549,0.02,0.007
SVC,4,0.2,0.57,0.571,0.721,0.038,0.025,0.018,0.528,0.549,0.02,0.007
SVC_Linear,4,0.2,0.585,0.586,0.735,0.038,0.025,0.018,0.511,0.549,0.02,0.007
LinearSVC,4,0.2,0.568,0.568,0.721,0.039,0.028,0.018,0.541,0.555,0.02,0.008
KNeighbors,4,0.2,0.894,0.905,0.938,0.063,0.047,0.02,0.18,0.543,0.04,0.038
RandomForest,4,0.2,0.866,0.874,0.925,0.121,0.13,0.04,0.405,0.64,0.076,0.097
AdaBoost,4,0.2,0.979,0.995,0.989,0.026,0.022,0.017,0.018,0.507,0.053,0.019
GradientBoosting,4,0.2,0.974,0.989,0.987,0.086,0.075,0.024,0.076,0.533,0.105,0.073
GaussianNB,4,0.2,0.944,0.959,0.97,0.029,0.011,0.017,0.058,0.508,0.024,0.01
SGD,4,0.2,0.585,0.588,0.662,0.03,0.01,0.017,0.44,0.514,0.028,0.005
DecisionTree,4,0.2,0.816,0.822,0.895,0.082,0.098,0.029,0.457,0.64,0.045,0.054
ExtraTrees,4,0.2,0.848,0.855,0.913,0.109,0.121,0.036,0.427,0.641,0.065,0.083
BaggingClassifierDT,4,0.2,0.876,0.884,0.931,0.114,0.12,0.036,0.371,0.627,0.07,0.089
BaggingClassifierLSVC,4,0.2,0.593,0.594,0.741,0.038,0.025,0.018,0.504,0.549,0.02,0.008
SVC,4,0.3,0.571,0.572,0.723,0.038,0.026,0.018,0.53,0.551,0.02,0.008
SVC_Linear,4,0.3,0.589,0.591,0.739,0.038,0.025,0.018,0.508,0.549,0.02,0.008
LinearSVC,4,0.3,0.57,0.57,0.723,0.039,0.03,0.019,0.549,0.56,0.02,0.009
KNeighbors,4,0.3,0.818,0.827,0.888,0.057,0.045,0.02,0.283,0.555,0.032,0.029
RandomForest,4,0.3,0.817,0.823,0.896,0.089,0.103,0.032,0.456,0.639,0.051,0.062
AdaBoost,4,0.3,0.97,0.985,0.985,0.05,0.036,0.018,0.05,0.517,0.054,0.035
GradientBoosting,4,0.3,0.961,0.975,0.98,0.083,0.067,0.023,0.111,0.543,0.068,0.065
GaussianNB,4,0.3,0.902,0.915,0.946,0.04,0.022,0.018,0.132,0.523,0.026,0.017
SGD,4,0.3,0.471,0.469,0.561,0.035,0.017,0.017,0.578,0.524,0.026,0.007
DecisionTree,4,0.3,0.759,0.763,0.859,0.066,0.081,0.026,0.502,0.632,0.036,0.037
ExtraTrees,4,0.3,0.792,0.797,0.879,0.082,0.097,0.03,0.48,0.638,0.046,0.054
BaggingClassifierDT,4,0.3,0.827,0.834,0.902,0.085,0.096,0.03,0.422,0.628,0.048,0.058
BaggingClassifierLSVC,4,0.3,0.576,0.576,0.727,0.039,0.03,0.019,0.541,0.559,0.02,0.009
SVC,4,0.4,0.571,0.572,0.723,0.038,0.023,0.018,0.519,0.545,0.02,0.007
SVC_Linear,4,0.4,0.588,0.589,0.737,0.038,0.024,0.018,0.505,0.547,0.02,0.007
LinearSVC,4,0.4,0.567,0.567,0.72,0.038,0.026,0.018,0.536,0.552,0.02,0.007
KNeighbors,4,0.4,0.817,0.825,0.897,0.051,0.042,0.02,0.299,0.562,0.028,0.023
RandomForest,4,0.4,0.798,0.803,0.885,0.077,0.093,0.029,0.476,0.64,0.042,0.049
AdaBoost,4,0.4,0.953,0.967,0.976,0.055,0.037,0.019,0.086,0.526,0.042,0.035
GradientBoosting,4,0.4,0.937,0.95,0.967,0.082,0.07,0.023,0.172,0.561,0.054,0.059
GaussianNB,4,0.4,0.804,0.814,0.885,0.038,0.019,0.017,0.238,0.526,0.022,0.011
SGD,4,0.4,0.749,0.757,0.817,0.028,0.013,0.017,0.273,0.515,0.027,0.007
DecisionTree,4,0.4,0.745,0.749,0.852,0.063,0.079,0.025,0.521,0.635,0.033,0.033
ExtraTrees,4,0.4,0.787,0.792,0.878,0.073,0.088,0.027,0.48,0.636,0.04,0.045
BaggingClassifierDT,4,0.4,0.823,0.829,0.901,0.078,0.092,0.028,0.437,0.633,0.043,0.051
BaggingClassifierLSVC,4,0.4,0.575,0.575,0.726,0.038,0.026,0.018,0.526,0.551,0.02,0.007
SVC,4,0.5,0.568,0.569,0.72,0.038,0.027,0.018,0.536,0.553,0.02,0.008
SVC_Linear,4,0.5,0.593,0.594,0.742,0.038,0.026,0.018,0.506,0.55,0.02,0.008
LinearSVC,4,0.5,0.572,0.572,0.724,0.039,0.027,0.018,0.535,0.554,0.02,0.008
KNeighbors,4,0.5,0.74,0.746,0.844,0.045,0.034,0.019,0.367,0.557,0.024,0.015
RandomForest,4,0.5,0.747,0.751,0.852,0.064,0.076,0.025,0.501,0.626,0.034,0.035
AdaBoost,4,0.5,0.929,0.941,0.963,0.058,0.043,0.02,0.139,0.54,0.038,0.034
GradientBoosting,4,0.5,0.909,0.92,0.952,0.067,0.057,0.022,0.203,0.562,0.04,0.041
GaussianNB,4,0.5,0.78,0.788,0.869,0.04,0.021,0.018,0.273,0.531,0.023,0.012
SGD,4,0.5,0.538,0.538,0.63,0.032,0.013,0.017,0.499,0.519,0.023,0.005
DecisionTree,4,0.5,0.7,0.703,0.821,0.055,0.066,0.023,0.533,0.618,0.029,0.025
ExtraTrees,4,0.5,0.737,0.741,0.845,0.062,0.074,0.025,0.506,0.623,0.033,0.032
BaggingClassifierDT,4,0.5,0.769,0.774,0.865,0.065,0.075,0.025,0.466,0.62,0.035,0.036
BaggingClassifierLSVC,4,0.5,0.595,0.596,0.743,0.039,0.026,0.018,0.506,0.551,0.02,0.008
SVC,5,0.05,0.544,0.544,0.699,0.038,0.026,0.018,0.559,0.552,0.02,0.007
SVC_Linear,5,0.05,0.589,0.59,0.739,0.038,0.024,0.018,0.504,0.547,0.02,0.007
LinearSVC,5,0.05,0.561,0.561,0.715,0.038,0.026,0.018,0.542,0.552,0.02,0.007
KNeighbors,5,0.05,0.963,0.978,0.979,0.099,0.099,0.029,0.086,0.532,0.17,0.09
RandomForest,5,0.05,0.948,0.958,0.972,0.235,0.235,0.089,0.307,0.632,0.251,0.219
AdaBoost,5,0.05,0.984,1.0,0.992,0.007,0.013,0.017,0.004,0.502,0.072,0.006
GradientBoosting,5,0.05,0.983,0.999,0.991,0.056,0.087,0.027,0.032,0.515,0.275,0.053
GaussianNB,5,0.05,0.972,0.987,0.986,0.015,0.004,0.016,0.014,0.501,0.022,0.003
SGD,5,0.05,0.628,0.631,0.712,0.03,0.011,0.017,0.406,0.518,0.019,0.005
DecisionTree,5,0.05,0.923,0.932,0.958,0.157,0.161,0.048,0.354,0.643,0.105,0.135
ExtraTrees,5,0.05,0.936,0.946,0.965,0.211,0.207,0.073,0.329,0.637,0.185,0.193
BaggingClassifierDT,5,0.05,0.954,0.965,0.975,0.219,0.217,0.074,0.268,0.617,0.24,0.204
BaggingClassifierLSVC,5,0.05,0.585,0.586,0.735,0.038,0.025,0.018,0.511,0.548,0.02,0.007
SVC,5,0.1,0.561,0.562,0.714,0.037,0.024,0.018,0.531,0.546,0.019,0.007
SVC_Linear,5,0.1,0.589,0.591,0.739,0.038,0.024,0.018,0.502,0.546,0.02,0.007
LinearSVC,5,0.1,0.568,0.569,0.721,0.039,0.028,0.018,0.542,0.555,0.02,0.008
KNeighbors,5,0.1,0.959,0.973,0.978,0.088,0.072,0.023,0.105,0.539,0.081,0.071
RandomForest,5,0.1,0.942,0.952,0.969,0.216,0.213,0.074,0.331,0.641,0.187,0.199
AdaBoost,5,0.1,0.983,0.999,0.991,0.011,0.015,0.017,0.006,0.503,0.058,0.009
