Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_ET1_BCDT15,4,0.5,0.664,0.573,0.665,0.619,0.99,0.022
DT7_BCDT14_RF8_ET1_BCDT15,5,0.25,0.77,0.462,0.775,0.619,0.989,0.034
BCDT14_RF8_ET1,5,0.3,0.765,0.468,0.77,0.619,0.989,0.032
DT7_BCDT14_RF8_ET1_BCDT15,6,0.25,0.786,0.446,0.792,0.619,0.989,0.034
DT7_RF8_BCDT15,6,0.25,0.745,0.489,0.749,0.619,0.989,0.029
DT7_BCDT14_RF8_ET1_BCDT15,6,0.4,0.735,0.499,0.739,0.619,0.989,0.028
DT7_BCDT14_RF8,7,0.05,0.904,0.325,0.914,0.619,0.988,0.077
RF8_ET1_BCDT15,7,0.15,0.841,0.39,0.848,0.619,0.988,0.046
DT7_RF8_ET1,7,0.3,0.784,0.449,0.789,0.619,0.989,0.034
BCDT14_RF8_BCDT15,7,0.5,0.687,0.549,0.689,0.619,0.989,0.024
DT7_RF8_ET1,3,0.4,0.715,0.519,0.718,0.618,0.989,0.027
RF8_ET1_BCDT15,3,0.4,0.713,0.52,0.716,0.618,0.989,0.026
BCDT14_RF8_ET1,4,0.4,0.712,0.521,0.715,0.618,0.989,0.027
DT7_BCDT14_RF8,5,0.4,0.714,0.518,0.717,0.618,0.989,0.025
BCDT14_ET1_BCDT15,6,0.3,0.772,0.458,0.777,0.618,0.989,0.032
DT7_BCDT14_RF8,6,0.4,0.712,0.52,0.716,0.618,0.989,0.025
DT7_BCDT14_BCDT15,7,0.1,0.816,0.413,0.822,0.618,0.989,0.04
BCDT14_ET1_BCDT15,7,0.15,0.828,0.401,0.835,0.618,0.988,0.042
BCDT14_ET1_BCDT15,7,0.5,0.714,0.518,0.717,0.618,0.989,0.026
DT7_ET1_BCDT15,3,0.4,0.685,0.546,0.688,0.617,0.989,0.024
DT7_BCDT14_RF8_ET1_BCDT15,4,0.15,0.69,0.542,0.693,0.617,0.989,0.029
DT7_BCDT14_ET1,4,0.15,0.703,0.527,0.706,0.617,0.989,0.032
DT7_RF8_ET1,4,0.3,0.748,0.482,0.752,0.617,0.989,0.031
DT7_BCDT14_BCDT15,5,0.3,0.703,0.529,0.706,0.617,0.989,0.025
DT7_RF8_BCDT15,5,0.5,0.662,0.571,0.663,0.617,0.99,0.022
DT7_RF8_BCDT15,6,0.1,0.821,0.407,0.828,0.617,0.988,0.044
BCDT14_RF8_BCDT15,6,0.3,0.746,0.483,0.75,0.617,0.989,0.028
BCDT14_ET1_BCDT15,7,0.05,0.881,0.343,0.89,0.617,0.988,0.061
DT7_ET1_BCDT15,7,0.1,0.831,0.396,0.838,0.617,0.988,0.043
