Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
GaussianNB,3,0.5,0.723,0.364,0.729,0.546,0.986,0.012
SVC_Linear,4,0.05,0.589,0.501,0.591,0.546,0.986,0.007
SVC,4,0.3,0.545,0.546,0.545,0.546,0.987,0.006
SVC_Linear,4,0.4,0.575,0.517,0.576,0.546,0.987,0.007
LinearSVC,4,0.4,0.563,0.529,0.564,0.546,0.987,0.007
LinearSVC,6,0.3,0.588,0.501,0.59,0.546,0.986,0.007
AdaBoost,2,0.5,0.911,0.168,0.923,0.545,0.986,0.031
SVC,3,0.1,0.566,0.524,0.566,0.545,0.987,0.007
SVC_Linear,3,0.15,0.587,0.501,0.588,0.545,0.986,0.007
SVC,4,0.05,0.576,0.513,0.577,0.545,0.987,0.007
BaggingClassifierLSVC,4,0.05,0.552,0.537,0.553,0.545,0.987,0.006
LinearSVC,4,0.15,0.559,0.53,0.559,0.545,0.987,0.006
SVC_Linear,4,0.3,0.589,0.5,0.591,0.545,0.986,0.007
SVC_Linear,5,0.3,0.583,0.506,0.584,0.545,0.986,0.007
LinearSVC,3,0.05,0.571,0.517,0.572,0.544,0.986,0.006
SVC,3,0.15,0.587,0.5,0.588,0.544,0.986,0.007
SVC,3,0.4,0.555,0.533,0.555,0.544,0.987,0.006
LinearSVC,3,0.4,0.572,0.515,0.573,0.544,0.986,0.006
SVC_Linear,3,0.5,0.584,0.504,0.585,0.544,0.986,0.007
SVC_Linear,4,0.25,0.584,0.501,0.586,0.544,0.986,0.007
SVC,4,0.5,0.551,0.536,0.551,0.544,0.986,0.007
GaussianNB,4,0.5,0.696,0.387,0.701,0.544,0.986,0.01
SVC,5,0.15,0.543,0.544,0.543,0.544,0.987,0.006
GaussianNB,5,0.25,0.771,0.31,0.778,0.544,0.986,0.014
SVC_Linear,6,0.1,0.593,0.494,0.595,0.544,0.986,0.007
AdaBoost,6,0.5,0.907,0.169,0.919,0.544,0.986,0.029
GaussianNB,2,0.5,0.65,0.432,0.653,0.543,0.986,0.009
SVC,4,0.4,0.532,0.554,0.532,0.543,0.987,0.006
SVC_Linear,6,0.25,0.578,0.507,0.579,0.543,0.986,0.006
AdaBoost,6,0.4,0.935,0.138,0.948,0.543,0.985,0.04
SVC_Linear,3,0.05,0.583,0.5,0.585,0.542,0.986,0.006
BaggingClassifierLSVC,3,0.25,0.566,0.518,0.566,0.542,0.986,0.006
BaggingClassifierLSVC,3,0.3,0.565,0.519,0.565,0.542,0.986,0.006
KNeighbors,4,0.15,0.953,0.118,0.966,0.542,0.985,0.053
BaggingClassifierLSVC,4,0.15,0.535,0.549,0.534,0.542,0.986,0.006
BaggingClassifierLSVC,4,0.25,0.547,0.537,0.547,0.542,0.986,0.006
KNeighbors,4,0.5,0.78,0.296,0.788,0.542,0.986,0.012
KNeighbors,2,0.1,0.969,0.1,0.983,0.541,0.985,0.076
LinearSVC,3,0.25,0.566,0.514,0.567,0.541,0.986,0.006
SVC_Linear,3,0.3,0.586,0.494,0.588,0.541,0.986,0.006
LinearSVC,3,0.3,0.574,0.507,0.575,0.541,0.986,0.006
BaggingClassifierLSVC,3,0.4,0.561,0.521,0.561,0.541,0.986,0.006
SVC,3,0.5,0.588,0.492,0.59,0.541,0.986,0.006
AdaBoost,4,0.4,0.938,0.13,0.951,0.541,0.985,0.04
GaussianNB,4,0.4,0.763,0.312,0.77,0.541,0.986,0.012
KNeighbors,5,0.25,0.91,0.16,0.922,0.541,0.985,0.028
KNeighbors,6,0.25,0.914,0.156,0.927,0.541,0.985,0.03
SVC_Linear,3,0.1,0.589,0.49,0.59,0.54,0.986,0.006
LinearSVC,4,0.25,0.562,0.517,0.563,0.54,0.986,0.006
SVC,2,0.5,0.586,0.489,0.588,0.539,0.986,0.006
SVC_Linear,5,0.1,0.594,0.483,0.596,0.539,0.986,0.006
SVC_Linear,5,0.25,0.603,0.474,0.605,0.539,0.986,0.006
SVC,6,0.5,0.511,0.568,0.51,0.539,0.986,0.005
SVC_Linear,2,0.5,0.587,0.488,0.589,0.538,0.986,0.006
GaussianNB,5,0.5,0.696,0.375,0.701,0.538,0.986,0.009
LinearSVC,6,0.15,0.577,0.498,0.578,0.538,0.986,0.006
KNeighbors,6,0.5,0.784,0.285,0.792,0.538,0.986,0.011
KNeighbors,2,0.05,0.979,0.08,0.993,0.537,0.985,0.098
SVC,3,0.05,0.569,0.504,0.57,0.537,0.986,0.005
KNeighbors,3,0.1,0.969,0.09,0.983,0.537,0.985,0.069
SVC_Linear,3,0.4,0.599,0.474,0.601,0.537,0.986,0.005
GradientBoosting,4,0.15,0.979,0.081,0.994,0.537,0.985,0.102
KNeighbors,5,0.3,0.889,0.174,0.9,0.537,0.985,0.021
GaussianNB,5,0.3,0.841,0.224,0.851,0.537,0.985,0.015
GaussianNB,5,0.4,0.762,0.305,0.77,0.537,0.986,0.01
SVC_Linear,5,0.5,0.617,0.455,0.62,0.537,0.986,0.006
KNeighbors,6,0.3,0.889,0.173,0.901,0.537,0.985,0.02
SVC_Linear,4,0.5,0.594,0.474,0.596,0.535,0.986,0.005
SVC_Linear,5,0.4,0.608,0.46,0.611,0.535,0.986,0.005
KNeighbors,3,0.05,0.98,0.073,0.995,0.534,0.985,0.097
SVC,4,0.15,0.525,0.543,0.525,0.534,0.986,0.005
SVC,6,0.15,0.521,0.546,0.521,0.534,0.986,0.005
GaussianNB,2,0.4,0.782,0.276,0.79,0.533,0.985,0.012
SVC,3,0.3,0.56,0.506,0.56,0.533,0.986,0.005
AdaBoost,3,0.4,0.937,0.114,0.951,0.533,0.985,0.032
SVC_Linear,4,0.1,0.592,0.471,0.594,0.533,0.986,0.005
SVC_Linear,4,0.15,0.596,0.468,0.598,0.533,0.986,0.005
