Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_BCDT14_BCDT15,6,0.25,0.775,0.504,0.779,0.641,0.99,0.038
DT7_RF8_ET1,2,0.25,0.815,0.46,0.82,0.64,0.989,0.046
DT7_ET1_BCDT15,2,0.3,0.759,0.517,0.763,0.64,0.99,0.036
DT7_BCDT14_ET1,3,0.05,0.881,0.39,0.889,0.64,0.989,0.069
BCDT14_RF8_ET1,4,0.25,0.819,0.456,0.825,0.64,0.989,0.048
RF8_ET1_BCDT15,5,0.15,0.872,0.4,0.88,0.64,0.989,0.065
DT7_RF8_ET1,5,0.25,0.827,0.446,0.834,0.64,0.989,0.049
DT7_BCDT14_RF8,5,0.3,0.775,0.501,0.779,0.64,0.99,0.038
DT7_BCDT14_ET1,5,0.3,0.794,0.481,0.799,0.64,0.99,0.041
BCDT14_RF8_BCDT15,5,0.3,0.771,0.505,0.776,0.64,0.99,0.037
DT7_BCDT14_RF8,6,0.05,0.924,0.346,0.934,0.64,0.989,0.105
DT7_BCDT14_RF8_ET1_BCDT15,2,0.3,0.785,0.489,0.79,0.639,0.99,0.04
DT7_BCDT14_RF8,3,0.25,0.787,0.486,0.792,0.639,0.99,0.04
DT7_BCDT14_BCDT15,3,0.3,0.749,0.525,0.753,0.639,0.99,0.034
BCDT14_RF8_ET1,3,0.4,0.761,0.513,0.765,0.639,0.99,0.036
RF8_ET1_BCDT15,4,0.3,0.808,0.464,0.813,0.639,0.989,0.044
DT7_RF8_ET1,5,0.15,0.867,0.402,0.875,0.639,0.989,0.062
DT7_RF8_ET1,3,0.3,0.798,0.474,0.803,0.638,0.989,0.041
DT7_BCDT14_RF8,4,0.3,0.779,0.492,0.784,0.638,0.99,0.038
DT7_BCDT14_ET1,5,0.25,0.812,0.458,0.817,0.638,0.989,0.044
RF8_ET1_BCDT15,6,0.25,0.83,0.44,0.836,0.638,0.989,0.049
DT7_ET1_BCDT15,6,0.3,0.771,0.501,0.775,0.638,0.99,0.037
BCDT14_RF8_BCDT15,6,0.3,0.784,0.488,0.789,0.638,0.99,0.039
DT7_BCDT14_ET1,2,0.25,0.801,0.468,0.807,0.637,0.989,0.042
RF8_ET1_BCDT15,2,0.3,0.793,0.475,0.798,0.637,0.989,0.04
DT7_BCDT14_RF8_ET1_BCDT15,2,0.4,0.746,0.525,0.749,0.637,0.99,0.033
BCDT14_RF8_ET1,3,0.25,0.813,0.456,0.819,0.637,0.989,0.044
BCDT14_RF8_BCDT15,3,0.3,0.777,0.492,0.782,0.637,0.99,0.037
BCDT14_ET1_BCDT15,4,0.15,0.858,0.408,0.866,0.637,0.989,0.059
DT7_RF8_BCDT15,4,0.4,0.72,0.551,0.722,0.637,0.99,0.03
BCDT14_RF8_BCDT15,6,0.05,0.927,0.337,0.936,0.637,0.989,0.105
DT7_RF8_BCDT15,2,0.25,0.77,0.498,0.774,0.636,0.99,0.036
DT7_RF8_ET1,3,0.5,0.734,0.535,0.737,0.636,0.99,0.031
DT7_RF8_BCDT15,4,0.3,0.765,0.504,0.769,0.636,0.99,0.036
BCDT14_ET1_BCDT15,4,0.3,0.798,0.469,0.804,0.636,0.989,0.041
DT7_BCDT14_BCDT15,4,0.4,0.709,0.56,0.712,0.636,0.99,0.029
DT7_BCDT14_ET1,5,0.1,0.875,0.389,0.883,0.636,0.989,0.065
BCDT14_ET1_BCDT15,5,0.1,0.879,0.385,0.887,0.636,0.989,0.068
BCDT14_RF8_BCDT15,6,0.15,0.855,0.41,0.862,0.636,0.989,0.056
BCDT14_ET1_BCDT15,2,0.3,0.791,0.475,0.796,0.635,0.989,0.039
DT7_ET1_BCDT15,2,0.4,0.721,0.546,0.724,0.635,0.99,0.03
BCDT14_ET1_BCDT15,2,0.4,0.744,0.521,0.748,0.635,0.99,0.032
RF8_ET1_BCDT15,2,0.4,0.75,0.515,0.754,0.635,0.99,0.033
DT7_BCDT14_ET1,3,0.3,0.782,0.483,0.787,0.635,0.989,0.038
BCDT14_ET1_BCDT15,3,0.5,0.73,0.537,0.733,0.635,0.99,0.031
RF8_ET1_BCDT15,3,0.5,0.731,0.536,0.734,0.635,0.99,0.031
DT7_BCDT14_RF8_ET1_BCDT15,4,0.4,0.754,0.512,0.758,0.635,0.99,0.034
DT7_BCDT14_RF8_ET1_BCDT15,5,0.05,0.929,0.331,0.939,0.635,0.989,0.107
RF8_ET1_BCDT15,5,0.25,0.83,0.432,0.837,0.635,0.989,0.048
BCDT14_ET1_BCDT15,6,0.25,0.82,0.444,0.826,0.635,0.989,0.045
DT7_BCDT14_RF8_ET1_BCDT15,6,0.4,0.761,0.505,0.765,0.635,0.99,0.034
DT7_BCDT14_ET1,3,0.5,0.73,0.535,0.733,0.634,0.99,0.03
DT7_BCDT14_RF8,5,0.05,0.928,0.33,0.938,0.634,0.989,0.104
RF8_ET1_BCDT15,6,0.3,0.815,0.448,0.821,0.634,0.989,0.044
DT7_RF8_ET1,2,0.3,0.793,0.468,0.798,0.633,0.989,0.039
DT7_BCDT14_RF8_ET1_BCDT15,2,0.5,0.717,0.546,0.72,0.633,0.99,0.029
DT7_RF8_ET1,2,0.5,0.722,0.54,0.725,0.633,0.99,0.029
BCDT14_RF8_ET1,3,0.05,0.928,0.329,0.937,0.633,0.988,0.104
DT7_RF8_BCDT15,3,0.4,0.729,0.535,0.732,0.633,0.99,0.03
DT7_BCDT14_ET1,4,0.15,0.851,0.408,0.858,0.633,0.989,0.055
DT7_BCDT14_BCDT15,4,0.3,0.747,0.515,0.751,0.633,0.99,0.033
BCDT14_RF8_BCDT15,4,0.4,0.733,0.53,0.736,0.633,0.99,0.031
DT7_RF8_ET1,5,0.1,0.901,0.356,0.91,0.633,0.989,0.079
DT7_BCDT14_RF8,6,0.15,0.854,0.406,0.861,0.633,0.989,0.054
DT7_BCDT14_RF8,6,0.25,0.795,0.467,0.8,0.633,0.989,0.04
DT7_ET1_BCDT15,6,0.25,0.789,0.471,0.794,0.633,0.989,0.038
BCDT14_RF8_BCDT15,6,0.4,0.743,0.519,0.747,0.633,0.99,0.032
DT7_BCDT14_ET1,2,0.3,0.789,0.469,0.795,0.632,0.989,0.039
BCDT14_RF8_ET1,3,0.5,0.722,0.538,0.725,0.632,0.99,0.029
DT7_RF8_ET1,4,0.3,0.806,0.452,0.812,0.632,0.989,0.041
BCDT14_ET1_BCDT15,5,0.25,0.82,0.438,0.826,0.632,0.989,0.045
DT7_BCDT14_RF8,6,0.3,0.775,0.485,0.78,0.632,0.989,0.036
BCDT14_ET1_BCDT15,6,0.3,0.808,0.45,0.813,0.632,0.989,0.041
BCDT14_RF8_BCDT15,2,0.25,0.786,0.471,0.791,0.631,0.989,0.037
DT7_BCDT14_ET1,2,0.5,0.721,0.538,0.724,0.631,0.99,0.029
RF8_ET1_BCDT15,2,0.5,0.718,0.542,0.72,0.631,0.99,0.029
DT7_ET1_BCDT15,3,0.5,0.697,0.562,0.699,0.631,0.99,0.026
DT7_ET1_BCDT15,4,0.3,0.763,0.495,0.768,0.631,0.989,0.034
BCDT14_ET1_BCDT15,5,0.05,0.905,0.348,0.915,0.631,0.989,0.081
BCDT14_ET1_BCDT15,6,0.1,0.878,0.376,0.887,0.631,0.989,0.065
DT7_BCDT14_RF8_ET1_BCDT15,6,0.15,0.872,0.382,0.88,0.631,0.989,0.061
BCDT14_RF8_ET1,2,0.25,0.812,0.442,0.818,0.63,0.989,0.042
BCDT14_RF8_BCDT15,2,0.3,0.763,0.493,0.767,0.63,0.989,0.034
DT7_BCDT14_RF8,3,0.4,0.747,0.51,0.751,0.63,0.99,0.032
DT7_BCDT14_BCDT15,3,0.4,0.719,0.538,0.722,0.63,0.99,0.029
BCDT14_RF8_ET1,4,0.1,0.895,0.356,0.904,0.63,0.989,0.072
RF8_ET1_BCDT15,5,0.1,0.903,0.348,0.912,0.63,0.988,0.079
DT7_RF8_ET1,6,0.3,0.809,0.445,0.815,0.63,0.989,0.041
DT7_BCDT14_RF8,2,0.3,0.765,0.489,0.769,0.629,0.989,0.034
DT7_RF8_BCDT15,2,0.4,0.716,0.539,0.719,0.629,0.99,0.028
DT7_BCDT14_RF8_ET1_BCDT15,3,0.5,0.728,0.526,0.731,0.629,0.99,0.029
BCDT14_RF8_BCDT15,3,0.5,0.708,0.548,0.711,0.629,0.99,0.027
DT7_BCDT14_ET1,6,0.05,0.889,0.361,0.898,0.629,0.989,0.069
DT7_BCDT14_ET1,6,0.25,0.811,0.44,0.817,0.629,0.989,0.041
DT7_BCDT14_BCDT15,2,0.25,0.748,0.504,0.752,0.628,0.989,0.031
DT7_RF8_BCDT15,2,0.3,0.744,0.507,0.748,0.628,0.989,0.031
DT7_RF8_ET1,2,0.4,0.747,0.505,0.751,0.628,0.989,0.031
DT7_ET1_BCDT15,2,0.5,0.688,0.565,0.69,0.628,0.99,0.025
DT7_BCDT14_ET1,5,0.15,0.844,0.404,0.852,0.628,0.989,0.05
DT7_ET1_BCDT15,6,0.15,0.832,0.418,0.839,0.628,0.989,0.047
DT7_BCDT14_ET1,6,0.3,0.799,0.451,0.804,0.628,0.989,0.039
DT7_BCDT14_BCDT15,6,0.3,0.751,0.5,0.755,0.628,0.989,0.031
DT7_RF8_BCDT15,6,0.3,0.763,0.489,0.768,0.628,0.989,0.033
DT7_RF8_BCDT15,6,0.4,0.724,0.529,0.727,0.628,0.99,0.028
BCDT14_RF8_ET1,4,0.05,0.93,0.314,0.94,0.627,0.988,0.104
DT7_BCDT14_ET1,4,0.3,0.796,0.452,0.802,0.627,0.989,0.038
DT7_BCDT14_RF8_ET1_BCDT15,5,0.4,0.766,0.483,0.771,0.627,0.989,0.033
DT7_BCDT14_ET1,6,0.1,0.869,0.376,0.877,0.627,0.989,0.059
DT7_RF8_ET1,6,0.25,0.825,0.423,0.832,0.627,0.989,0.044
BCDT14_RF8_ET1,2,0.05,0.913,0.331,0.922,0.626,0.988,0.085
BCDT14_RF8_BCDT15,2,0.4,0.729,0.519,0.733,0.626,0.989,0.029
BCDT14_ET1_BCDT15,2,0.5,0.71,0.538,0.713,0.626,0.99,0.027
DT7_ET1_BCDT15,4,0.4,0.727,0.523,0.73,0.626,0.989,0.029
DT7_BCDT14_RF8,6,0.4,0.731,0.517,0.735,0.626,0.989,0.029
DT7_BCDT14_RF8,2,0.25,0.787,0.457,0.792,0.625,0.989,0.036
DT7_BCDT14_ET1,2,0.4,0.737,0.51,0.741,0.625,0.989,0.029
DT7_BCDT14_BCDT15,2,0.4,0.707,0.539,0.71,0.625,0.99,0.026
DT7_BCDT14_ET1,4,0.4,0.75,0.495,0.755,0.625,0.989,0.031
DT7_BCDT14_ET1,5,0.05,0.893,0.348,0.902,0.625,0.988,0.069
DT7_BCDT14_BCDT15,5,0.4,0.724,0.523,0.727,0.625,0.989,0.028
DT7_RF8_BCDT15,5,0.4,0.732,0.514,0.735,0.625,0.989,0.029
DT7_BCDT14_RF8_ET1_BCDT15,6,0.5,0.726,0.521,0.729,0.625,0.989,0.028
DT7_BCDT14_RF8,4,0.4,0.736,0.508,0.74,0.624,0.989,0.029
RF8_ET1_BCDT15,5,0.05,0.935,0.304,0.945,0.624,0.988,0.107
DT7_BCDT14_RF8,5,0.4,0.738,0.505,0.742,0.623,0.989,0.029
RF8_ET1_BCDT15,6,0.1,0.904,0.332,0.913,0.623,0.988,0.075
BCDT14_RF8_BCDT15,6,0.5,0.721,0.521,0.724,0.623,0.989,0.027
DT7_BCDT14_RF8,2,0.5,0.705,0.536,0.707,0.622,0.989,0.025
DT7_RF8_BCDT15,3,0.5,0.691,0.551,0.693,0.622,0.99,0.024
