Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC,5,0.2,0.571,0.566,0.571,0.568,0.988,0.01
SVC_Linear,5,0.2,0.595,0.532,0.596,0.564,0.987,0.01
LinearSVC,5,0.2,0.57,0.576,0.57,0.573,0.988,0.011
KNeighbors,5,0.2,0.924,0.17,0.936,0.553,0.986,0.049
RandomForest,5,0.2,0.895,0.412,0.903,0.657,0.989,0.125
AdaBoost,5,0.2,0.979,0.017,0.995,0.506,0.984,0.018
GradientBoosting,5,0.2,0.974,0.085,0.989,0.537,0.985,0.083
GaussianNB,5,0.2,0.948,0.061,0.962,0.512,0.984,0.013
SGD,5,0.2,0.695,0.346,0.701,0.523,0.986,0.014
DecisionTree,5,0.2,0.829,0.465,0.835,0.65,0.99,0.059
ExtraTrees,5,0.2,0.873,0.436,0.881,0.658,0.99,0.101
BaggingClassifierDT,5,0.2,0.878,0.41,0.886,0.648,0.989,0.085
BaggingClassifierLSVC,5,0.2,0.562,0.58,0.561,0.571,0.988,0.01
SVC,5,0.3,0.553,0.551,0.553,0.552,0.987,0.007
SVC_Linear,5,0.3,0.589,0.506,0.591,0.548,0.986,0.007
LinearSVC,5,0.3,0.569,0.532,0.57,0.551,0.987,0.007
KNeighbors,5,0.3,0.873,0.224,0.883,0.554,0.986,0.03
RandomForest,5,0.3,0.85,0.403,0.857,0.63,0.989,0.066
AdaBoost,5,0.3,0.968,0.05,0.983,0.516,0.984,0.03
GradientBoosting,5,0.3,0.961,0.126,0.974,0.55,0.986,0.075
GaussianNB,5,0.3,0.894,0.124,0.906,0.515,0.984,0.013
SGD,5,0.3,0.468,0.572,0.466,0.519,0.935,0.006
DecisionTree,5,0.3,0.784,0.47,0.789,0.63,0.989,0.038
ExtraTrees,5,0.3,0.829,0.43,0.835,0.632,0.989,0.056
BaggingClassifierDT,5,0.3,0.831,0.444,0.838,0.641,0.989,0.054
BaggingClassifierLSVC,5,0.3,0.554,0.556,0.554,0.555,0.987,0.008
SVC,5,0.4,0.569,0.511,0.57,0.54,0.986,0.006
SVC_Linear,5,0.4,0.583,0.489,0.585,0.537,0.986,0.006
LinearSVC,5,0.4,0.557,0.546,0.558,0.552,0.987,0.007
KNeighbors,5,0.4,0.795,0.297,0.803,0.55,0.986,0.02
RandomForest,5,0.4,0.805,0.46,0.81,0.635,0.989,0.052
AdaBoost,5,0.4,0.946,0.105,0.96,0.532,0.985,0.035
GradientBoosting,5,0.4,0.939,0.17,0.951,0.561,0.986,0.058
GaussianNB,5,0.4,0.813,0.224,0.823,0.524,0.985,0.008
SGD,5,0.4,0.754,0.264,0.762,0.513,0.984,0.004
DecisionTree,5,0.4,0.736,0.52,0.739,0.63,0.989,0.032
ExtraTrees,5,0.4,0.787,0.475,0.792,0.633,0.989,0.046
BaggingClassifierDT,5,0.4,0.775,0.488,0.78,0.634,0.989,0.04
BaggingClassifierLSVC,5,0.4,0.553,0.547,0.553,0.55,0.987,0.007
SVC,5,0.5,0.571,0.515,0.572,0.544,0.986,0.006
SVC_Linear,5,0.5,0.593,0.496,0.594,0.545,0.986,0.007
LinearSVC,5,0.5,0.565,0.536,0.565,0.55,0.987,0.007
KNeighbors,5,0.5,0.737,0.369,0.743,0.556,0.986,0.016
RandomForest,5,0.5,0.772,0.483,0.777,0.63,0.989,0.041
AdaBoost,5,0.5,0.921,0.143,0.934,0.538,0.985,0.031
GradientBoosting,5,0.5,0.905,0.218,0.916,0.567,0.986,0.045
GaussianNB,5,0.5,0.713,0.345,0.719,0.532,0.985,0.008
SGD,5,0.5,0.495,0.523,0.494,0.509,0.985,0.002
DecisionTree,5,0.5,0.702,0.527,0.705,0.616,0.989,0.025
ExtraTrees,5,0.5,0.753,0.505,0.757,0.631,0.989,0.037
BaggingClassifierDT,5,0.5,0.736,0.51,0.74,0.625,0.989,0.031
BaggingClassifierLSVC,5,0.5,0.545,0.561,0.545,0.553,0.987,0.007
