Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
KNeighbors,0.9375,0.75,1.0,0.5,0.9655172413793104,0.75,3,3,0,42
KNeighbors,0.9148936170212766,0.6666666666666666,1.0,0.3333333333333333,0.9534883720930233,0.6666666666666667,2,4,0,41
KNeighbors,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
KNeighbors,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
KNeighbors,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
KNeighbors,0.851063829787234,0.4878048780487805,0.975609756097561,0.0,0.9195402298850575,0.4878048780487805,0,6,1,40
KNeighbors,0.8936170212765957,0.6544715447154471,0.975609756097561,0.3333333333333333,0.9411764705882352,0.6544715447154472,2,4,1,40
KNeighbors,0.851063829787234,0.4878048780487805,0.975609756097561,0.0,0.9195402298850575,0.4878048780487805,0,6,1,40
KNeighbors,0.8936170212765957,0.6544715447154471,0.975609756097561,0.3333333333333333,0.9411764705882352,0.6544715447154472,2,4,1,40
KNeighbors,0.9361702127659575,0.75,1.0,0.5,0.9647058823529412,0.75,3,3,0,41
KNeighbors,0.8723404255319149,0.5,1.0,0.0,0.9318181818181819,0.5,0,6,0,41
KNeighbors,0.851063829787234,0.5589430894308943,0.9512195121951219,0.16666666666666666,0.9176470588235294,0.5589430894308943,1,5,2,39
KNeighbors,0.9148936170212766,0.7378048780487805,0.975609756097561,0.5,0.9523809523809524,0.7378048780487805,3,3,1,40
KNeighbors,0.8297872340425532,0.47560975609756095,0.9512195121951219,0.0,0.9069767441860465,0.47560975609756095,0,6,2,39
KNeighbors,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
RandomForest,0.8541666666666666,0.9146341463414633,0.8292682926829268,1.0,0.9066666666666667,0.9146341463414633,7,0,7,34
RandomForest,0.9791666666666666,0.9878048780487805,0.975609756097561,1.0,0.9876543209876543,0.9878048780487805,7,0,1,40
RandomForest,0.9583333333333334,0.8571428571428572,1.0,0.7142857142857143,0.9761904761904763,0.8571428571428572,5,2,0,41
RandomForest,0.9166666666666666,0.7735191637630662,0.975609756097561,0.5714285714285714,0.9523809523809524,0.7735191637630661,4,3,1,40
RandomForest,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
RandomForest,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
RandomForest,0.9791666666666666,0.9166666666666667,1.0,0.8333333333333334,0.988235294117647,0.9166666666666667,5,1,0,42
RandomForest,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
RandomForest,0.8958333333333334,0.6547619047619048,0.9761904761904762,0.3333333333333333,0.9425287356321839,0.6547619047619048,2,4,1,41
RandomForest,0.9166666666666666,0.6666666666666666,1.0,0.3333333333333333,0.9545454545454545,0.6666666666666667,2,4,0,42
RandomForest,0.8958333333333334,0.6547619047619048,0.9761904761904762,0.3333333333333333,0.9425287356321839,0.6547619047619048,2,4,1,41
RandomForest,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
RandomForest,0.8958333333333334,0.6547619047619048,0.9761904761904762,0.3333333333333333,0.9425287356321839,0.6547619047619048,2,4,1,41
RandomForest,0.9375,0.75,1.0,0.5,0.9655172413793104,0.75,3,3,0,42
RandomForest,0.9375,0.75,1.0,0.5,0.9655172413793104,0.75,3,3,0,42
