Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
GradientBoosting,0.8982300884955752,0.6166666666666667,1.0,0.23333333333333334,0.944578313253012,0.6166666666666667,7,23,0,196
GradientBoosting,0.8938053097345132,0.6282312925170068,0.9897959183673469,0.26666666666666666,0.941747572815534,0.6282312925170068,8,22,2,194
GradientBoosting,0.8938053097345132,0.6009102047960792,0.9949238578680203,0.20689655172413793,0.9423076923076922,0.600910204796079,6,23,1,196
GradientBoosting,0.915929203539823,0.7018204095921582,0.9898477157360406,0.41379310344827586,0.9535452322738387,0.7018204095921583,12,17,2,195
GradientBoosting,0.9247787610619469,0.721599859968493,0.9949238578680203,0.4482758620689655,0.9584352078239609,0.721599859968493,13,16,1,196
GradientBoosting,0.8849557522123894,0.6840539121302293,0.9543147208121827,0.41379310344827586,0.9353233830845771,0.6840539121302294,12,17,9,188
GradientBoosting,0.8938053097345132,0.7626465954839838,0.9390862944162437,0.5862068965517241,0.9390862944162437,0.7626465954839841,17,12,12,185
GaussianNB,0.8722466960352423,0.5449238578680203,0.9898477157360406,0.1,0.9307875894988067,0.5449238578680202,3,27,2,195
GaussianNB,0.8938053097345132,0.6141156462585035,0.9948979591836735,0.23333333333333334,0.9420289855072465,0.6141156462585033,7,23,1,195
GaussianNB,0.8716814159292036,0.5166666666666667,1.0,0.03333333333333333,0.9311163895486936,0.5166666666666666,1,29,0,196
GaussianNB,0.8672566371681416,0.5141156462585035,0.9948979591836735,0.03333333333333333,0.9285714285714287,0.5141156462585034,1,29,1,195
GaussianNB,0.8672566371681416,0.5141156462585035,0.9948979591836735,0.03333333333333333,0.9285714285714287,0.5141156462585034,1,29,1,195
GaussianNB,0.8805309734513275,0.5638893751093996,0.9898477157360406,0.13793103448275862,0.935251798561151,0.5638893751093996,4,25,2,195
GaussianNB,0.8628318584070797,0.5537370908454402,0.9695431472081218,0.13793103448275862,0.9249394673123487,0.5537370908454403,4,25,6,191
GaussianNB,0.8716814159292036,0.5,1.0,0.0,0.9314420803782506,0.5,0,29,0,197
GaussianNB,0.8761061946902655,0.5466479957990548,0.9898477157360406,0.10344827586206896,0.9330143540669856,0.5466479957990548,3,26,2,195
GaussianNB,0.8805309734513275,0.5932959915981096,0.9796954314720813,0.20689655172413793,0.9346246973365617,0.5932959915981095,6,23,4,193
SGD,0.8149779735682819,0.7238578680203045,0.8477157360406091,0.6,0.8882978723404255,0.7238578680203045,18,12,30,167
SGD,0.39823008849557523,0.5683673469387756,0.336734693877551,0.8,0.49253731343283585,0.5683673469387756,24,6,130,66
SGD,0.9070796460176991,0.65,1.0,0.3,0.9491525423728813,0.65,9,21,0,196
SGD,0.22566371681415928,0.5394557823129251,0.11224489795918367,0.9666666666666667,0.20091324200913244,0.5394557823129252,29,1,174,22
SGD,0.8628318584070797,0.680952380952381,0.9285714285714286,0.43333333333333335,0.9215189873417722,0.680952380952381,13,17,14,182
SGD,0.20353982300884957,0.5137405916331175,0.09644670050761421,0.9310344827586207,0.17431192660550457,0.5137405916331174,27,2,178,19
SGD,0.2610619469026549,0.5320322072466305,0.16751269035532995,0.896551724137931,0.28326180257510725,0.5320322072466305,26,3,164,33
