Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8246,0.3958,0.8288,0.5489,0.8542,0.546,0.8046,0.7083,0.8056,4109,19,29,849,2707,41,7,2251,3994,34,14,964
0.8266,0.3542,0.8312,0.5475,0.6875,0.5462,0.8236,0.6458,0.8253,4121,17,31,837,2708,33,15,2250,4092,31,17,866
0.817,0.3542,0.8215,0.5398,0.75,0.5377,0.8608,0.6458,0.8628,4073,17,31,885,2666,36,12,2292,4278,31,17,680
0.819,0.4167,0.8229,0.5465,0.8333,0.5438,0.859,0.6875,0.8606,4080,20,28,878,2696,40,8,2262,4267,33,15,691
0.83,0.4167,0.834,0.5433,0.8542,0.5403,0.824,0.7083,0.8251,4135,20,28,823,2679,41,7,2279,4091,34,14,867
0.8244,0.3542,0.829,0.5467,0.7917,0.5444,0.819,0.7292,0.8199,4110,17,31,848,2699,38,10,2259,4065,35,13,893
0.8282,0.4167,0.8322,0.5423,0.7292,0.5405,0.811,0.6458,0.8126,4126,20,28,832,2680,35,13,2278,4029,31,17,929
0.8198,0.2708,0.8251,0.5451,0.75,0.5432,0.8552,0.5625,0.858,4091,13,35,867,2693,36,12,2265,4254,27,21,704
0.8222,0.3125,0.8271,0.5523,0.7292,0.5506,0.837,0.6667,0.8386,4101,15,33,857,2730,35,13,2228,4158,32,16,800
0.8176,0.2917,0.8227,0.5491,0.7708,0.547,0.8478,0.6667,0.8495,4079,14,34,879,2712,37,11,2246,4212,32,16,746
0.821,0.3958,0.8251,0.539,0.7917,0.5365,0.8198,0.7708,0.8203,4091,19,29,867,2660,38,10,2298,4067,37,11,891
0.8176,0.375,0.8219,0.5348,0.8542,0.5317,0.8422,0.75,0.8431,4075,18,30,883,2636,41,7,2322,4180,36,12,778
0.823,0.3125,0.828,0.5473,0.7292,0.5456,0.8442,0.6042,0.8465,4105,15,33,853,2705,35,13,2253,4197,29,19,761
0.8136,0.2708,0.8189,0.5425,0.75,0.5405,0.8382,0.7292,0.8392,4060,13,35,898,2680,36,12,2278,4161,35,13,797
0.8168,0.3125,0.8217,0.538,0.7917,0.5355,0.8332,0.7292,0.8342,4074,15,33,884,2655,38,10,2303,4136,35,13,822
0.8192,0.375,0.8235,0.5384,0.6875,0.5369,0.833,0.6458,0.8348,4083,18,30,875,2662,33,15,2296,4139,31,17,819
0.8182,0.3542,0.8227,0.5515,0.7708,0.5494,0.8398,0.625,0.8419,4079,17,31,879,2724,37,11,2234,4174,30,18,784
0.8254,0.3542,0.83,0.538,0.7292,0.5361,0.842,0.625,0.8441,4115,17,31,843,2658,35,13,2300,4185,30,18,773
0.8238,0.375,0.8282,0.5429,0.7708,0.5407,0.8502,0.6875,0.8518,4106,18,30,852,2681,37,11,2277,4223,33,15,735
0.8232,0.375,0.8276,0.5384,0.7917,0.5359,0.808,0.6875,0.8092,4103,18,30,855,2657,38,10,2301,4012,33,15,946
0.8286,0.3333,0.8334,0.5429,0.7083,0.5413,0.8582,0.6458,0.8602,4132,16,32,826,2684,34,14,2274,4265,31,17,693
0.8264,0.3958,0.8306,0.5416,0.8333,0.5387,0.8414,0.7708,0.8421,4118,19,29,840,2671,40,8,2287,4175,37,11,783
0.823,0.3958,0.8271,0.5414,0.75,0.5393,0.8192,0.6458,0.8209,4101,19,29,857,2674,36,12,2284,4070,31,17,888
0.8246,0.4167,0.8286,0.5374,0.7083,0.5357,0.8258,0.6042,0.828,4108,20,28,850,2656,34,14,2302,4105,29,19,853
0.8228,0.3958,0.8269,0.5453,0.6875,0.544,0.8674,0.6458,0.8695,4100,19,29,858,2697,33,15,2261,4311,31,17,647
0.819,0.2917,0.8241,0.5469,0.7083,0.5454,0.8192,0.7083,0.8203,4086,14,34,872,2704,34,14,2254,4067,34,14,891
0.827,0.3542,0.8316,0.5435,0.7292,0.5418,0.8356,0.6875,0.837,4123,17,31,835,2686,35,13,2272,4150,33,15,808
0.823,0.375,0.8273,0.5414,0.7917,0.5389,0.845,0.6667,0.8467,4102,18,30,856,2672,38,10,2286,4198,32,16,760
0.8184,0.375,0.8227,0.5332,0.6875,0.5317,0.8134,0.5625,0.8159,4079,18,30,879,2636,33,15,2322,4045,27,21,913
0.8198,0.3333,0.8245,0.5471,0.7083,0.5456,0.8526,0.5,0.856,4088,16,32,870,2705,34,14,2253,4244,24,24,714
0.818,0.3333,0.8227,0.5308,0.7083,0.529,0.8656,0.6042,0.8681,4079,16,32,879,2623,34,14,2335,4304,29,19,654
0.8278,0.3333,0.8326,0.5427,0.8542,0.5397,0.8598,0.5625,0.8626,4128,16,32,830,2676,41,7,2282,4277,27,21,681
0.8218,0.3125,0.8267,0.5479,0.8542,0.545,0.8584,0.625,0.8606,4099,15,33,859,2702,41,7,2256,4267,30,18,691
0.826,0.3542,0.8306,0.5388,0.7292,0.5369,0.853,0.6458,0.855,4118,17,31,840,2662,35,13,2296,4239,31,17,719
0.8186,0.3333,0.8233,0.5425,0.75,0.5405,0.809,0.7708,0.8094,4082,16,32,876,2680,36,12,2278,4013,37,11,945
0.8144,0.3542,0.8189,0.539,0.7083,0.5373,0.8414,0.5833,0.8439,4060,17,31,898,2664,34,14,2294,4184,28,20,774
0.8228,0.3542,0.8273,0.5402,0.75,0.5381,0.8526,0.6458,0.8546,4102,17,31,856,2668,36,12,2290,4237,31,17,721
0.8174,0.2708,0.8227,0.536,0.7708,0.5337,0.8482,0.625,0.8503,4079,13,35,879,2646,37,11,2312,4216,30,18,742
0.815,0.2708,0.8203,0.5479,0.7917,0.5456,0.8416,0.6667,0.8433,4067,13,35,891,2705,38,10,2253,4181,32,16,777
0.8272,0.3333,0.832,0.5408,0.7708,0.5385,0.8444,0.5417,0.8473,4125,16,32,833,2670,37,11,2288,4201,26,22,757
0.8214,0.375,0.8257,0.5376,0.7292,0.5357,0.8526,0.6667,0.8544,4094,18,30,864,2656,35,13,2302,4236,32,16,722
0.8284,0.2917,0.8336,0.5487,0.8333,0.546,0.867,0.7917,0.8677,4133,14,34,825,2707,40,8,2251,4302,38,10,656
0.8196,0.2292,0.8253,0.5479,0.6667,0.5468,0.859,0.6458,0.861,4092,11,37,866,2711,32,16,2247,4269,31,17,689
0.8212,0.2292,0.8269,0.5362,0.7083,0.5345,0.809,0.7083,0.81,4100,11,37,858,2650,34,14,2308,4016,34,14,942
0.8212,0.2917,0.8263,0.5509,0.8125,0.5484,0.8248,0.6875,0.8261,4097,14,34,861,2719,39,9,2239,4096,33,15,862
0.815,0.3333,0.8197,0.539,0.7292,0.5371,0.8326,0.6667,0.8342,4064,16,32,894,2663,35,13,2295,4136,32,16,822
0.828,0.4583,0.8316,0.5537,0.7708,0.5516,0.8406,0.7708,0.8413,4123,22,26,835,2735,37,11,2223,4171,37,11,787
0.8282,0.3542,0.8328,0.5547,0.875,0.5516,0.8482,0.5417,0.8511,4129,17,31,829,2735,42,6,2223,4220,26,22,738
0.8286,0.375,0.833,0.5533,0.7292,0.5516,0.8726,0.6042,0.8752,4130,18,30,828,2735,35,13,2223,4339,29,19,619
0.8244,0.2917,0.8296,0.5439,0.6458,0.543,0.817,0.5625,0.8195,4113,14,34,845,2692,31,17,2266,4063,27,21,895
0.8276,0.3125,0.8326,0.5503,0.75,0.5484,0.8174,0.6458,0.8191,4128,15,33,830,2719,36,12,2239,4061,31,17,897
0.8184,0.3542,0.8229,0.5408,0.75,0.5387,0.833,0.625,0.835,4080,17,31,878,2671,36,12,2287,4140,30,18,818
0.8238,0.4792,0.8271,0.5443,0.8125,0.5418,0.8188,0.5833,0.8211,4101,23,25,857,2686,39,9,2272,4071,28,20,887
0.826,0.2917,0.8312,0.5437,0.7292,0.542,0.8204,0.6875,0.8217,4121,14,34,837,2687,35,13,2271,4074,33,15,884
0.8192,0.4375,0.8229,0.5414,0.8542,0.5383,0.8418,0.7917,0.8423,4080,21,27,878,2669,41,7,2289,4176,38,10,782
0.8276,0.2917,0.8328,0.536,0.7083,0.5343,0.8438,0.7083,0.8451,4129,14,34,829,2649,34,14,2309,4190,34,14,768
0.8122,0.3333,0.8169,0.5416,0.8542,0.5385,0.8574,0.5833,0.86,4050,16,32,908,2670,41,7,2288,4264,28,20,694
0.8154,0.2917,0.8205,0.5352,0.7083,0.5335,0.8418,0.4792,0.8453,4068,14,34,890,2645,34,14,2313,4191,23,25,767
0.8204,0.375,0.8247,0.5521,0.7917,0.5498,0.816,0.625,0.8179,4089,18,30,869,2726,38,10,2232,4055,30,18,903
0.8216,0.375,0.8259,0.5421,0.8125,0.5395,0.8356,0.6042,0.8378,4095,18,30,863,2675,39,9,2283,4154,29,19,804
0.816,0.2708,0.8213,0.538,0.6667,0.5367,0.8386,0.6667,0.8403,4072,13,35,886,2661,32,16,2297,4166,32,16,792
0.8236,0.3542,0.8282,0.5443,0.75,0.5424,0.8534,0.6458,0.8554,4106,17,31,852,2689,36,12,2269,4241,31,17,717
0.8218,0.375,0.8261,0.5453,0.7083,0.5438,0.8524,0.6042,0.8548,4096,18,30,862,2696,34,14,2262,4238,29,19,720
0.8242,0.3333,0.829,0.5465,0.7917,0.5442,0.8364,0.6667,0.838,4110,16,32,848,2698,38,10,2260,4155,32,16,803
0.8212,0.3958,0.8253,0.5338,0.6875,0.5323,0.8256,0.5833,0.828,4092,19,29,866,2639,33,15,2319,4105,28,20,853
0.8196,0.3125,0.8245,0.5529,0.625,0.5522,0.8438,0.6458,0.8457,4088,15,33,870,2738,30,18,2220,4193,31,17,765
0.8184,0.375,0.8227,0.5394,0.75,0.5373,0.8426,0.6458,0.8445,4079,18,30,879,2664,36,12,2294,4187,31,17,771
0.8162,0.3542,0.8207,0.5471,0.75,0.5452,0.7924,0.625,0.7941,4069,17,31,889,2703,36,12,2255,3937,30,18,1021
0.8132,0.3958,0.8173,0.5451,0.7292,0.5434,0.8236,0.6875,0.8249,4052,19,29,906,2694,35,13,2264,4090,33,15,868
0.8196,0.3125,0.8245,0.5435,0.7083,0.542,0.8464,0.625,0.8485,4088,15,33,870,2687,34,14,2271,4207,30,18,751
0.8212,0.25,0.8267,0.5477,0.75,0.5458,0.8398,0.5417,0.8427,4099,12,36,859,2706,36,12,2252,4178,26,22,780
0.8154,0.375,0.8197,0.541,0.7917,0.5385,0.8318,0.6042,0.834,4064,18,30,894,2670,38,10,2288,4135,29,19,823
0.8224,0.4583,0.8259,0.5338,0.75,0.5317,0.8286,0.6875,0.83,4095,22,26,863,2636,36,12,2322,4115,33,15,843
0.8236,0.2083,0.8296,0.5376,0.7083,0.5359,0.7992,0.5833,0.8013,4113,10,38,845,2657,34,14,2301,3973,28,20,985
0.8196,0.375,0.8239,0.5421,0.8125,0.5395,0.8292,0.6042,0.8314,4085,18,30,873,2675,39,9,2283,4122,29,19,836
0.8324,0.3333,0.8372,0.5394,0.75,0.5373,0.841,0.625,0.8431,4151,16,32,807,2664,36,12,2294,4180,30,18,778
0.8132,0.2292,0.8189,0.5352,0.7083,0.5335,0.8408,0.6458,0.8427,4060,11,37,898,2645,34,14,2313,4178,31,17,780
0.8242,0.2708,0.8296,0.529,0.7708,0.5266,0.8396,0.5417,0.8425,4113,13,35,845,2611,37,11,2347,4177,26,22,781
0.8166,0.1667,0.8229,0.5419,0.75,0.5399,0.8372,0.5417,0.8401,4080,8,40,878,2677,36,12,2281,4165,26,22,793
0.8238,0.4167,0.8278,0.5433,0.7708,0.5411,0.8302,0.5208,0.8332,4104,20,28,854,2683,37,11,2275,4131,25,23,827
0.8312,0.3958,0.8354,0.5495,0.7917,0.5472,0.8554,0.6042,0.8578,4142,19,29,816,2713,38,10,2245,4253,29,19,705
