learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.2,2,2,0.7748610705496329,0.7320022165629126,0.9997311827956988,0.9951612903225808,0.9341108368282672,0.9305995708235291,0.060792700313658396,0.04327485380116959
0.2,2,4,0.7921604691283076,0.7565117430673458,0.9965949820788531,0.9943548387096774,0.9478891358741828,0.9441715827474351,0.292065868263473,0.25058479532163747
0.2,2,8,0.8228001051149111,0.7551311073382381,0.995967741935484,0.9935483870967742,0.9510595754684023,0.9470198380535699,0.34342743085258054,0.29883040935672517
0.2,2,16,0.8626814407539248,0.7678610167892851,0.9957885304659498,0.9935483870967742,0.9547291803915652,0.9492239150308259,0.3983818078129455,0.3309941520467836
0.2,2,32,0.8832346763206818,0.7714700056593096,0.9966845878136201,0.988709677419355,0.960703770186545,0.9478627742544843,0.478450242372398,0.34707602339181287
0.2,2,64,0.9139414846701884,0.7795840407470289,0.9966845878136201,0.9846774193548388,0.9658775618635049,0.9479705000011049,0.5524985742800114,0.37982456140350873
0.2,2,100,0.9414465743372447,0.7652636295038672,0.9975806451612904,0.981451612903226,0.971767781166829,0.9467231000233737,0.6295765611633876,0.3853801169590643
0.2,2,128,0.9570775563568205,0.7644548198453122,0.9982078853046596,0.9749999999999999,0.975869533080675,0.9441160232204137,0.6827274023381806,0.3956140350877193
0.2,3,1,0.7731706406056295,0.7468213544614224,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,3,2,0.7950785113720332,0.7580091020562157,0.9995519713261649,0.9951612903225808,0.9422799369185991,0.9362503329533751,0.18629170230966635,0.12923976608187135
0.2,3,4,0.8178090535518825,0.7579147802301452,0.9970430107526882,0.9935483870967742,0.9512727479376784,0.9466657203326868,0.3386797832905618,0.2935672514619883
0.2,3,8,0.8533458732177222,0.766923693642709,0.9966845878136201,0.9887096774193548,0.9565729783678538,0.9485739780923785,0.418701881950385,0.35818713450292394
0.2,3,16,0.8926554804497508,0.7765527730616866,0.9967741935483871,0.9870967741935484,0.9642884519989924,0.9495720509168821,0.5292094382663245,0.385672514619883
0.2,3,32,0.9231054931228172,0.7709406244104887,0.9981182795698924,0.9806451612903226,0.9706809954907879,0.9469781729584863,0.6104612204163102,0.3961988304093567
0.2,3,64,0.9627530844608787,0.7560743255989436,0.9992831541218639,0.971774193548387,0.9797545084046003,0.9434896477960008,0.729344881665241,0.4128654970760234
0.2,3,100,0.9838974508739817,0.75758701188455,0.9998207885304659,0.9709677419354839,0.986912283937236,0.9427330052890168,0.824354861705161,0.40701754385964917
0.2,3,128,0.9931960228288942,0.7511318619128466,1.0,0.9661290322580646,0.9916052914387352,0.9386871899084342,0.8870722840034218,0.3853801169590644
0.2,4,1,0.8010794080042679,0.75459229390681,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,4,2,0.8197069378907316,0.7591704395397094,1.0,0.9903225806451614,0.9475791952529737,0.9377456027938553,0.2621542629027659,0.18771929824561404
0.2,4,4,0.8357566421177104,0.771685766836446,0.9990143369175627,0.9911290322580646,0.9577082609711909,0.9435717071987805,0.4180674365554605,0.2678362573099415
0.2,4,8,0.8772732504780507,0.7577402848519148,0.9980286738351254,0.9822580645161292,0.9638355045902551,0.9412147474867079,0.5136833475905332,0.30029239766081867
0.2,4,16,0.9212034376587328,0.7567982456140351,0.9979390681003583,0.9798387096774194,0.9708468342360355,0.9432790164158943,0.6140076988879384,0.347953216374269
0.2,4,32,0.9636276330467585,0.7578334276551594,0.9987455197132615,0.9653225806451614,0.9795265809437644,0.9371299251775833,0.7299401197604791,0.36900584795321634
0.2,4,64,0.990442661783448,0.753326023391813,0.9998207885304659,0.9588709677419356,0.9901082095408931,0.9338026704738708,0.8679640718562874,0.3690058479532164
0.2,4,100,0.9996821976247199,0.737711045085833,0.999910394265233,0.957258064516129,0.9963844643554068,0.9328945633372306,0.9521920444824638,0.3692982456140351
0.2,4,128,0.9999866226967468,0.7393498868138088,1.0,0.9580645161290322,0.9983008561196168,0.9341055832474119,0.9773025377815797,0.3801169590643275
0.2,5,1,0.814938771650248,0.7287186379928317,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
