max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
8,64,0.9649220615987687,0.7256272401433692,0.9826164874551973,0.9387096774193548,0.9734066002901216,0.9260516659947424,0.7580339321357286,0.4131578947368421
8,100,0.9664348035240324,0.7307724957555178,0.98163082437276,0.9459677419354838,0.9728104335163804,0.9298795525818138,0.7568220701454235,0.4128654970760233
8,128,0.9661169644198546,0.7340879079418978,0.9827956989247312,0.9483870967741934,0.9734483423769811,0.9304863606359556,0.7574208725406331,0.402046783625731
16,1,0.880698228159656,0.6235887096774193,0.9735663082437276,0.8879032258064516,0.9706839648444389,0.8943984117501685,0.7843455945252353,0.3590643274853801
16,2,0.9590226006001309,0.6595500848896435,0.9566308243727599,0.8185483870967742,0.9722983614847939,0.8613275267657144,0.9259088964927289,0.4871345029239766
16,4,0.9941769239299181,0.695697745708357,0.9858422939068101,0.9048387096774194,0.9859300129831681,0.9095902243734798,0.9067614770459083,0.4447368421052631
16,8,0.9983197918678771,0.7262556593095641,0.996505376344086,0.9266129032258064,0.9925942769761708,0.9194503824032937,0.9240804106073567,0.41345029239766085
16,16,0.9995572059925208,0.7243739388794567,0.9982078853046596,0.95,0.9944214904548948,0.931005979859774,0.937264756201882,0.39590643274853793
16,32,0.9998291547345657,0.7116063006979815,0.9988351254480285,0.9596774193548387,0.9967811623278754,0.9330821910547309,0.9647490732820074,0.35292397660818714
16,64,0.9998436834089117,0.7080232503301264,0.9992831541218636,0.9580645161290322,0.9987464821199113,0.9341162889643861,0.9880595950955232,0.3798245614035088
16,100,0.999909546306772,0.7101584606677985,0.9992831541218636,0.964516129032258,0.9989253327071201,0.9371816646541007,0.9904548046763615,0.37485380116959066
16,128,0.9999336053315794,0.7093649783059801,0.9992831541218636,0.964516129032258,0.9991041833481921,0.936811674038332,0.9928393213572854,0.36929824561403507
32,1,0.8837988002489643,0.6250165063195624,0.9789426523297491,0.8862903225806452,0.9737487924607476,0.8936325985850766,0.7885229540918164,0.3637426900584795
32,2,0.9592943880544083,0.6741522825881909,0.9563620071684588,0.8080645161290322,0.9726889849929663,0.8573571059451149,0.9330624465355004,0.5087719298245614
32,4,0.9948495897350205,0.697712695717789,0.9862903225806452,0.8911290322580644,0.9876617536049878,0.9040376026078363,0.9270958083832335,0.47251461988304105
32,8,0.9984905125744415,0.7096102150537635,0.9956989247311828,0.917741935483871,0.993517893437599,0.916787637377829,0.9420302252637581,0.4505847953216374
32,16,0.9996614314254236,0.7081906715714017,0.9984767025089607,0.9435483870967742,0.9958446419330427,0.9275976816083077,0.9545836897633304,0.4076023391812865
32,32,0.9998506092014638,0.6888511601584607,0.9988351254480285,0.9532258064516128,0.9982089682387439,0.9301013094189539,0.9838751069289993,0.3640350877192982
32,64,0.9998581322378286,0.7070140067911714,0.9992831541218636,0.963709677419355,0.999507068030962,0.9362938301155556,0.9982035928143713,0.3692982456140351
32,100,0.9999368310869301,0.7077615072627806,0.9992831541218636,0.9661290322580646,0.9996414164051994,0.938001879601931,1.0,0.3742690058479532
32,128,0.9999614426421095,0.7093944538766273,0.9992831541218636,0.9653225806451612,0.9996414164051994,0.937531508105567,1.0,0.3742690058479532
64,1,0.8837988002489643,0.6250165063195624,0.9789426523297491,0.8862903225806452,0.9737487924607476,0.8936325985850766,0.7885229540918164,0.3637426900584795
64,2,0.9592943880544083,0.6741522825881909,0.9563620071684588,0.8080645161290322,0.9726889849929663,0.8573571059451149,0.9330624465355004,0.5087719298245614
64,4,0.9948495897350205,0.697712695717789,0.9862903225806452,0.8911290322580644,0.9876617536049878,0.9040376026078363,0.9270958083832335,0.47251461988304105
