learning_rate,max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,2,4,0.8695653440752908,0.8695754949276076,0.7772345446076614,0.7606748726655347,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,8,0.8695653440752908,0.8695754949276076,0.8037902401801619,0.7715902659875495,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,16,0.898472536864776,0.8968925440756428,0.8217685117476261,0.7915971043199396,1.0,1.0,0.944843077318351,0.9442034122619107,0.22160322212717426,0.20789473684210527
0.05,2,32,0.9119521273883494,0.9066876785186645,0.8590578970706819,0.8142567440105642,0.9992831541218639,0.995967741935484,0.9517805771086616,0.9490110785020676,0.32971913316224694,0.3096491228070175
0.05,2,64,0.9257436086081349,0.9101891066679798,0.8741306190103153,0.814356960950764,0.9976702508960573,0.9911290322580646,0.9589610900623035,0.9505476594133203,0.44620758483033934,0.3692982456140351
0.05,2,100,0.929951037167076,0.9122919334186939,0.8922263943056027,0.806540039615167,0.9979390681003585,0.9903225806451612,0.9612071173477288,0.9516353425225365,0.4766645280866837,0.3906432748538012
0.05,2,128,0.9350158919782539,0.908076430611642,0.9009426072330505,0.8045510281079042,0.9977598566308243,0.9830645161290322,0.9639038845225809,0.9490229651217449,0.51669874536641,0.4064327485380117
0.05,3,1,0.8695653440752908,0.8695754949276076,0.779349244419507,0.7080987077909828,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,2,0.8695653440752908,0.8695754949276076,0.7992970600018601,0.7687570741369554,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,4,0.8695653440752908,0.8695754949276076,0.813559702152275,0.7715843708734201,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,8,0.8698770526632723,0.8702747956269082,0.8201830434113851,0.7762202886247878,1.0,1.0,0.9303877585218473,0.9305848891892653,0.002391645280866838,0.005263157894736842
0.05,3,16,0.9073541373775929,0.8982714468629961,0.8406810882203846,0.7963096585549896,1.0,0.9951612903225808,0.949429213457224,0.9446299050453899,0.28964214428286283,0.2505847953216374
0.05,3,32,0.9259768892514867,0.9101841820151678,0.8764557514515261,0.8071142237313715,0.9996415770609319,0.9927419354838711,0.9591631020529073,0.9506316246687907,0.43483033932135723,0.358187134502924
0.05,3,64,0.9418729345891517,0.9157982862208215,0.9047391360392375,0.8055154687794757,0.9991935483870968,0.9879032258064516,0.9676351266927462,0.9533492909939405,0.5597198460222412,0.433625730994152
0.05,3,100,0.9477941837059267,0.9115827834137693,0.9302633628033232,0.7965996981701565,1.0,0.9806451612903226,0.9708607877112323,0.9507373269423152,0.5997148560022811,0.4497076023391813
0.05,3,128,0.9503654912187411,0.9094701073574314,0.944310261006405,0.7909392095830976,0.9996415770609319,0.9774193548387098,0.9722468963273231,0.9493874383078765,0.6218206444254349,0.4552631578947368
0.05,4,1,0.8695653440752908,0.8695754949276076,0.8165887934193059,0.7850323052254292,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,2,0.8695653440752908,0.8695754949276076,0.8195384863912729,0.7851183738917186,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,4,0.8695653440752908,0.8695754949276076,0.8257059054573904,0.7837224108658744,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,8,0.8696432256952285,0.8695754949276076,0.8322841595993881,0.8022554706659122,1.0,1.0,0.9302713630679449,0.9302357016135845,0.0005952380952380952,0.0
0.05,4,16,0.9217701284227242,0.9038510784989657,0.8576089835817357,0.7933491322392001,1.0,0.9862903225806452,0.9569603394528624,0.946867290956566,0.40022455089820363,0.3529239766081871
0.05,4,32,0.9385219003358076,0.9059391312912439,0.8858217959881568,0.8113480946991134,1.0,0.9798387096774193,0.965864852025112,0.9474838678857791,0.5286248930710008,0.4125730994152047
0.05,4,64,0.9500539040362469,0.9073574313010934,0.9366047570757103,0.8025466893039048,1.0,0.9766129032258066,0.9720862128044736,0.9482632049474601,0.6170444824636443,0.4444444444444445
0.05,4,100,0.9562092229320396,0.9052447552447553,0.964652161690444,0.7888853518204113,0.9998207885304659,0.9725806451612902,0.9754386916636613,0.946872457735614,0.6654191616766467,0.4549707602339181
