max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
64,16,0.9925979074550254,0.8625233921008568,0.999285265235019,0.7253466327108093,0.9963261648745521,0.920967741935484,0.9957459075714832,0.9183017449077713,0.9677252637581979,0.47105263157894733
64,32,0.9952471572905208,0.870944548409337,0.9996208028770928,0.728775231088474,0.996057347670251,0.9330645161290324,0.9972635876668958,0.9244766792804692,0.9898453093812375,0.4552631578947368
64,64,0.9951690328596092,0.8737614498177878,0.9995575046144272,0.7390091492171288,0.9953405017921145,0.9346774193548388,0.9972170321099503,0.9254745886945305,0.9940119760479043,0.4654970760233918
64,100,0.996260103971659,0.8702550970156604,0.9995795722942236,0.7481442180720619,0.9963261648745521,0.9314516129032256,0.9978460846658637,0.9233968113499499,0.995822640433419,0.460233918128655
64,128,0.996260103971659,0.8723480744607507,0.9995891697148458,0.7436462459913223,0.9963261648745521,0.9330645161290322,0.9978460846658637,0.924876242399795,0.995822640433419,0.4654970760233918
None,1,0.9575355171752342,0.8393430513148822,0.8981173725258138,0.6529499151103566,0.9788530465949821,0.9048387096774192,0.9756573502103867,0.9062031486595806,0.815422725976618,0.4011695906432749
None,2,0.9605743572186489,0.7950901211464592,0.9672239031282034,0.6978706847764573,0.9646057347670253,0.8362903225806452,0.977020724111131,0.8726597010009387,0.9337040205303678,0.5187134502923977
None,4,0.9818450841704243,0.8393627499261301,0.996617235000046,0.7188938407847576,0.9897849462365592,0.8895161290322582,0.9895625972701358,0.9031265410002028,0.9288637011690903,0.5032163742690059
None,8,0.9913512552113305,0.8590121146459173,0.9986451891404083,0.7311509620826259,0.9949820788530465,0.914516129032258,0.9950260506688278,0.9159813586978596,0.9671300256629598,0.4874269005847953
None,16,0.9925979074550254,0.8625233921008568,0.999285265235019,0.7253466327108093,0.9963261648745521,0.920967741935484,0.9957459075714832,0.9183017449077713,0.9677252637581979,0.47105263157894733
None,32,0.9952471572905208,0.870944548409337,0.9996208028770928,0.728775231088474,0.996057347670251,0.9330645161290324,0.9972635876668958,0.9244766792804692,0.9898453093812375,0.4552631578947368
None,64,0.9951690328596092,0.8737614498177878,0.9995575046144272,0.7390091492171288,0.9953405017921145,0.9346774193548388,0.9972170321099503,0.9254745886945305,0.9940119760479043,0.4654970760233918
None,100,0.996260103971659,0.8702550970156604,0.9995795722942236,0.7481442180720619,0.9963261648745521,0.9314516129032256,0.9978460846658637,0.9233968113499499,0.995822640433419,0.460233918128655
None,128,0.996260103971659,0.8723480744607507,0.9995891697148458,0.7436462459913223,0.9963261648745521,0.9330645161290322,0.9978460846658637,0.924876242399795,0.995822640433419,0.4654970760233918
