Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22,,,
0.8206,0.375,0.8249,0.5477,0.8333,0.545,0.9379,0.5625,0.9415,4090,18,30,868,2702,40,8,2256,4668,27,21,290,,,
0.8256,0.375,0.83,0.5441,0.7292,0.5424,0.9147,0.6667,0.9171,4115,18,30,843,2689,35,13,2269,4547,32,16,411,,,
0.816,0.3333,0.8207,0.5417,0.75,0.5397,0.9119,0.6667,0.9143,4069,16,32,889,2676,36,12,2282,4533,32,16,425,,,
0.8206,0.1667,0.8269,0.5521,0.7292,0.5504,0.9113,0.5625,0.9147,4100,8,40,858,2729,35,13,2229,4535,27,21,423,,,
0.8256,0.4167,0.8296,0.5439,0.875,0.5407,0.9291,0.5417,0.9328,4113,20,28,845,2681,42,6,2277,4625,26,22,333,,,
0.8136,0.375,0.8179,0.5421,0.8958,0.5387,0.9169,0.5208,0.9207,4055,18,30,903,2671,43,5,2287,4565,25,23,393,,,
0.8144,0.3125,0.8193,0.539,0.5833,0.5385,0.9269,0.5833,0.9302,4062,15,33,896,2670,28,20,2288,4612,28,20,346,,,
0.8126,0.2917,0.8177,0.5396,0.6875,0.5381,0.9387,0.6667,0.9413,4054,14,34,904,2668,33,15,2290,4667,32,16,291,,,
0.8228,0.3125,0.8278,0.5453,0.8333,0.5426,0.9251,0.4375,0.9298,4104,15,33,854,2690,40,8,2268,4610,21,27,348,,,
0.83,0.3125,0.835,0.5408,0.7083,0.5391,0.9263,0.7083,0.9284,4140,15,33,818,2673,34,14,2285,4603,34,14,355,,,
0.8276,0.3958,0.8318,0.5571,0.7917,0.5549,0.9207,0.3958,0.9258,4124,19,29,834,2751,38,10,2207,4590,19,29,368,,,
0.8246,0.375,0.829,0.5471,0.8333,0.5444,0.9235,0.6667,0.926,4110,18,30,848,2699,40,8,2259,4591,32,16,367,,,
0.8162,0.375,0.8205,0.5328,0.6875,0.5313,0.9413,0.6042,0.9445,4068,18,30,890,2634,33,15,2324,4683,29,19,275,,,
0.8184,0.375,0.8227,0.5479,0.8333,0.5452,0.9285,0.5833,0.9318,4079,18,30,879,2703,40,8,2255,4620,28,20,338,,,
0.824,0.3542,0.8286,0.5463,0.7917,0.544,0.9397,0.5208,0.9437,4108,17,31,850,2697,38,10,2261,4679,25,23,279,,,
0.8248,0.4583,0.8284,0.5447,0.875,0.5415,0.9287,0.5417,0.9324,4107,22,26,851,2685,42,6,2273,4623,26,22,335,,,
0.8208,0.375,0.8251,0.5394,0.8333,0.5365,0.9229,0.6042,0.926,4091,18,30,867,2660,40,8,2298,4591,29,19,367,,,
0.82,0.3333,0.8247,0.5485,0.75,0.5466,0.9351,0.5833,0.9385,4089,16,32,869,2710,36,12,2248,4653,28,20,305,,,
0.8216,0.3958,0.8257,0.5334,0.7917,0.5309,0.9163,0.5833,0.9195,4094,19,29,864,2632,38,10,2326,4559,28,20,399,,,
0.8258,0.2917,0.831,0.5477,0.8958,0.5444,0.9163,0.5833,0.9195,4120,14,34,838,2699,43,5,2259,4559,28,20,399,,,
0.821,0.3958,0.8251,0.533,0.8542,0.5299,0.9251,0.5208,0.929,4091,19,29,867,2627,41,7,2331,4606,25,23,352,,,
0.8196,0.2292,0.8253,0.5372,0.7708,0.5349,0.9455,0.5208,0.9496,4092,11,37,866,2652,37,11,2306,4708,25,23,250,,,
0.828,0.2708,0.8334,0.5633,0.6458,0.5625,0.9247,0.75,0.9264,4132,13,35,826,2789,31,17,2169,4593,36,12,365,,,
0.8158,0.25,0.8213,0.5429,0.6458,0.542,0.9229,0.6042,0.926,4072,12,36,886,2687,31,17,2271,4591,29,19,367,,,
0.8248,0.2917,0.83,0.5352,0.75,0.5331,0.9437,0.7083,0.9459,4115,14,34,843,2643,36,12,2315,4690,34,14,268,,,
0.8248,0.2708,0.8302,0.5352,0.6458,0.5341,0.9431,0.625,0.9461,4116,13,35,842,2648,31,17,2310,4691,30,18,267,,,
0.8268,0.2708,0.8322,0.5435,0.7292,0.5418,0.9283,0.75,0.93,4126,13,35,832,2686,35,13,2272,4611,36,12,347,,,
0.8186,0.4583,0.8221,0.5392,0.8958,0.5357,0.9239,0.4375,0.9286,4076,22,26,882,2656,43,5,2302,4604,21,27,354,,,
0.8064,0.375,0.8106,0.5296,0.75,0.5274,0.9195,0.5833,0.9228,4019,18,30,939,2615,36,12,2343,4575,28,20,383,,,
0.827,0.4375,0.8308,0.5567,0.8958,0.5534,0.9355,0.6042,0.9387,4119,21,27,839,2744,43,5,2214,4654,29,19,304,,,
0.8244,0.4583,0.828,0.5533,0.875,0.5502,0.9487,0.6042,0.952,4105,22,26,853,2728,42,6,2230,4720,29,19,238,,,
