N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
165,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
166,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
167,0.984,0.997,0.992,0.281,0.313,0.115,0.19,0.594,0.533,0.275
168,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
169,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
170,0.982,0.997,0.991,0.179,0.199,0.057,0.119,0.558,0.357,0.172
171,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
172,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
173,0.983,0.997,0.991,0.182,0.207,0.06,0.119,0.558,0.385,0.176
174,0.982,0.996,0.991,0.207,0.224,0.067,0.143,0.569,0.375,0.2
175,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
176,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
177,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
178,0.984,0.995,0.992,0.338,0.346,0.137,0.262,0.629,0.478,0.331
179,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
180,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
181,0.982,0.995,0.991,0.2,0.21,0.061,0.143,0.569,0.333,0.192
182,0.984,0.997,0.992,0.218,0.251,0.08,0.143,0.57,0.462,0.212
183,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
184,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
185,0.982,0.997,0.991,0.179,0.199,0.057,0.119,0.558,0.357,0.172
186,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
187,0.985,0.998,0.992,0.264,0.321,0.119,0.167,0.583,0.636,0.259
188,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
189,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
190,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
191,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
192,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
193,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
194,0.985,0.998,0.992,0.231,0.288,0.099,0.143,0.571,0.6,0.226
195,0.983,0.996,0.992,0.267,0.284,0.098,0.19,0.593,0.444,0.26
196,0.981,0.994,0.99,0.219,0.221,0.066,0.167,0.58,0.318,0.21
197,0.982,0.996,0.991,0.175,0.192,0.054,0.119,0.558,0.333,0.168
198,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
199,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
200,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
201,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
202,0.985,0.997,0.992,0.31,0.341,0.133,0.214,0.606,0.562,0.304
203,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
204,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
205,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
206,0.984,0.997,0.992,0.281,0.313,0.115,0.19,0.594,0.533,0.275
207,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
208,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
209,0.982,0.995,0.991,0.254,0.261,0.086,0.19,0.593,0.381,0.246
210,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
211,0.985,0.997,0.992,0.31,0.341,0.133,0.214,0.606,0.562,0.304
212,0.982,0.994,0.991,0.273,0.275,0.093,0.214,0.604,0.375,0.264
213,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
214,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
215,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
216,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
217,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
218,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
219,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
220,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
221,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
222,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
223,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
224,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
225,0.982,0.996,0.991,0.207,0.224,0.067,0.143,0.569,0.375,0.2
226,0.984,0.997,0.992,0.281,0.313,0.115,0.19,0.594,0.533,0.275
227,0.984,0.996,0.992,0.317,0.329,0.126,0.238,0.617,0.476,0.31
228,0.982,0.995,0.991,0.258,0.268,0.089,0.19,0.593,0.4,0.25
229,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
230,0.983,0.998,0.992,0.154,0.189,0.053,0.095,0.546,0.4,0.149
231,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
232,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
233,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
234,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
235,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
236,0.981,0.995,0.991,0.197,0.204,0.059,0.143,0.569,0.316,0.189
237,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
238,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
239,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
240,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
241,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
242,0.982,0.997,0.991,0.179,0.199,0.057,0.119,0.558,0.357,0.172
243,0.982,0.995,0.991,0.254,0.261,0.086,0.19,0.593,0.381,0.246
244,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
245,0.984,0.997,0.992,0.281,0.313,0.115,0.19,0.594,0.533,0.275
246,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
247,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
248,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
249,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
