Accuracy_SIFT,Precision_SIFT,Recall_SIFT,F1_SIFT,APS_SIFT,AUC_SIFT,Accuracy_POLYPHEN,Precision_POLYPHEN,Recall_POLYPHEN,F1_POLYPHEN,APS_POLYPHEN,AUC_POLYPHEN,Accuracy_CADD,Precision_CADD,Recall_CADD,F1_CADD,APS_CADD,AUC_CADD,Accuracy_VC10B,Precision_VC10B,Recall_VC10B,F1_VC10B,APS_VC10B,AUC_VC10B,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_CADD,TN_CADD,FP_CADD,FN_CADD,TP_VC10B,TN_VC10B,FP_VC10B,FN_VC10B
0.8175,0.0248,0.4792,0.0472,0.01678074397634173,0.6499616260645673,0.5417,0.0161,0.7917,0.0316,0.014687544712111266,0.6654906912259853,0.8417,0.0433,0.75,0.0819,0.034845300803403145,0.7962715389185978,0.9902,0.4,0.0833,0.1379,0.041965862271924656,0.5410724896019015,23,4144,905,25,38,2723,2326,10,36,4254,795,12,4,5043,6,44
0.8215,0.0284,0.5417,0.054,0.01972472544668443,0.6828951277480688,0.5401,0.0168,0.8333,0.0329,0.015598731411954878,0.6853337294513766,0.8464,0.0412,0.6875,0.0777,0.03126687763015477,0.7676953357100416,0.9896,0.3529,0.125,0.1846,0.052357788318387985,0.5614106753812637,26,4161,888,22,40,2713,2336,8,33,4281,768,15,6,5038,11,42
0.8183,0.0228,0.4375,0.0433,0.01528364671034112,0.6297224697959992,0.5315,0.0141,0.7083,0.0276,0.012748098027828239,0.6190706080411963,0.8415,0.0355,0.6042,0.0671,0.02514679460519707,0.7239490493166962,0.991,0.625,0.1042,0.1786,0.07354050176574456,0.5517862448009507,21,4150,899,27,34,2675,2374,14,29,4260,789,19,5,5046,3,43
0.8081,0.0186,0.375,0.0354,0.01287339282515473,0.5936200237670826,0.5403,0.016,0.7917,0.0314,0.014649974385574433,0.6647974846504258,0.8462,0.0388,0.6458,0.0732,0.02842405884733415,0.7469610318875025,0.9906,0.5,0.1458,0.2258,0.08096061408671767,0.5722234600911071,18,4101,948,30,38,2716,2333,10,31,4282,767,17,7,5042,7,41
0.815,0.0224,0.4375,0.0426,0.015102463122572572,0.6280389681124976,0.5319,0.0153,0.7708,0.03,0.013982690001369778,0.6502215785304021,0.8464,0.0377,0.625,0.0711,0.027116394771619264,0.7367424242424243,0.9904,0.4615,0.125,0.1967,0.06593244895187214,0.5618067934244405,21,4133,916,27,37,2674,2375,11,30,4284,765,18,6,5042,7,42
0.8164,0.0236,0.4583,0.0449,0.015920067009037548,0.6390498118439295,0.5423,0.0157,0.7708,0.0308,0.014248354080062555,0.6554701426024956,0.8505,0.0399,0.6458,0.0752,0.029135338227054927,0.7491396811249753,0.991,0.5833,0.1458,0.2333,0.09311339186449547,0.5724215191126956,22,4139,910,26,37,2727,2322,11,31,4304,745,17,7,5044,5,41
0.8273,0.0294,0.5417,0.0558,0.020247637018315272,0.6858660130718953,0.5409,0.0165,0.8125,0.0323,0.015135997720177916,0.6754122103386809,0.8499,0.0445,0.7292,0.0839,0.034978516525279967,0.7901131412160823,0.9914,0.6111,0.2292,0.3334,0.14730546835829356,0.6138901267577739,26,4191,858,22,39,2718,2331,9,35,4297,752,13,11,5042,7,37
0.8313,0.029,0.5208,0.0549,0.019617833405483506,0.6775289661319074,0.5529,0.0156,0.75,0.0306,0.014078164545720107,0.6505000990295108,0.854,0.0409,0.6458,0.0769,0.029748004154753975,0.7509222123192711,0.9896,0.3529,0.125,0.1846,0.052357788318387985,0.5614106753812637,25,4212,837,23,36,2782,2267,12,31,4322,727,17,6,5038,11,42
0.8177,0.0279,0.5417,0.0531,0.019410941139535034,0.6810135670429787,0.5438,0.0161,0.7917,0.0316,0.014747035434375076,0.6665800158447217,0.8478,0.0427,0.7083,0.0805,0.0330021576392853,0.7787061794414736,0.9908,0.5556,0.1042,0.1755,0.06630670546944827,0.5516872152901565,26,4142,907,22,38,2734,2315,10,34,4287,762,14,5,5045,4,43
0.8181,0.0186,0.3542,0.0353,0.012676569083332097,0.5883528916617152,0.5466,0.0154,0.75,0.0302,0.013917495239043499,0.6473311546840959,0.8515,0.0378,0.6042,0.0711,0.02657101193815213,0.7289995543672013,0.989,0.2778,0.1042,0.1516,0.03737152028426308,0.5507959496930086,17,4153,896,31,36,2750,2299,12,29,4311,738,19,5,5036,13,43
0.8219,0.019,0.3542,0.0361,0.0128167219257369,0.5902344523668054,0.5454,0.0141,0.6875,0.0276,0.012659181682637348,0.6157840661517132,0.8519,0.0343,0.5417,0.0645,0.022871380850499,0.6982447019211724,0.989,0.3182,0.1458,0.2,0.05444546257156616,0.5714312240047534,17,4172,877,31,33,2747,2302,15,26,4316,733,22,7,5034,15,41
0.8183,0.0228,0.4375,0.0433,0.01528364671034112,0.6297224697959992,0.5405,0.0156,0.7708,0.0306,0.014202403067981165,0.6545788770053477,0.8464,0.0389,0.6458,0.0734,0.028455537848056368,0.7470600613982968,0.9906,0.5,0.1667,0.25,0.0911810869138709,0.5825410972469797,21,4150,899,27,37,2718,2331,11,31,4283,766,17,8,5041,8,40
